model,price,depreciation,registration_date,manufactured_year,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,types,status,posted_date,updated_date,maker
Toyota C-HR Hybrid 1.8A S,69800,14930,2017-10-20,2017,67000,974,Auto,25099,29887,48005,5000,1797,90,1440,SUV,AVAIL,2023-04-18,2023-04-18,TOYOTA
Mini Cooper S Cabriolet 2.0A,130762,20200,2020-07-09,2019,69586,1210,Auto,52293,37444,35889,44422,1998,141,1315,Sports Car,SOLD,2023-04-03,2023-04-07,MINI
Mercedes-Benz C-Class C180 Avantgarde,115800,20440,2017-11-17,2017,89000,740,Auto,53354,37239,49000,44135,1595,115,1425,Luxury Sedan,AVAIL,2023-04-12,2023-04-17,MERCEDES-BENZ
Audi Q2 1.0A TFSI S-tronic,130000,17090,2020-02-28,2019,16850,392,Auto,41491,23669,33301,25137,999,85,1315,SUV,AVAIL,2023-04-07,2023-04-14,AUDI
BMW 4 Series 428i Convertible Sport,66000,25960,2014-07-14,2014,74000,1210,Auto,45207,55862,64889,67552,1997,180,1700,Sports Car,AVAIL,2023-04-17,2023-04-17,BMW
Volkswagen Polo 1.0A TSI Comfortline,126988,13500,2022-01-12,2021,28158,392,Auto,52713,17845,45001,17845,999,85,1190,Hatchback,AVAIL,2023-03-26,2023-04-08,VOLKSWAGEN
Mercedes-Benz A-Class A45 AMG 4MATIC (New 10-yr COE),199800,19960,2014-07-02,2014,87000,1202,Auto,69731,50253,44656,62456,1991,265,1555,Sports Car,AVAIL,2023-03-30,2023-04-10,MERCEDES-BENZ
Lexus NX Hybrid NX350h Luxury Sunroof,218272,21512,2022-06-09,2022,43207,1784,Auto,114287,59063,98889,63314,2487,179,1790,SUV,SOLD,2023-03-29,2023-04-08,LEXUS
MINI Cooper S Countryman 1.6A (COE till 12/2031),96800,11110,2012-04-30,2012,125000,816,Auto,44044,31153,50570,31153,1598,135,1335,Sports Car,AVAIL,2023-04-10,2023-04-17,MINI
Nissan Sylphy 1.5A (COE till 12/2024),28944,16930,2010-01-20,2009,142597,958,Auto,5467,17713,15988,17713,1498,80,1175,Mid-Sized Sedan,AVAIL,2023-04-14,2023-04-14,NISSAN
MINI One 1.6A (COE till 02/2026),34800,12330,2011-02-11,2010,119000,965,Auto,11233,18290,19922,18290,1598,72,1100,Hatchback,AVAIL,2023-04-11,2023-04-11,MINI
BMW M235i Coupe,67888,34280,2014-06-12,2014,104899,2362,Auto,38929,46213,67304,56699,2979,240,1470,Sports Car,AVAIL,2023-04-06,2023-04-06,BMW
Toyota Premio 1.5A F (COE till 04/2024),13800,13580,2009-04-23,2008,151486,955,Auto,2661,19269,13088,19269,1496,81,1200,Mid-Sized Sedan,AVAIL,2023-04-13,2023-04-15,TOYOTA
Opel Combo-e Electric,124800,12560,2023-03-24,2022,5,1056,Auto,69300,39053,69739,1953,1495,96,1720,Van,AVAIL,2023-04-10,2023-04-10,OPEL
Mazda CX-8 2.5A Luxury 6-Seater,185800,21890,2020-12-02,2020,24000,1786,Auto,57929,32584,39500,37618,2488,143,1793,SUV,AVAIL,2023-04-15,2023-04-15,MAZDA
Lexus ES250 Luxury Sunroof,105800,20680,2017-03-21,2016,101942,1792,Auto,51870,40888,51000,49244,2494,135,1615,Luxury Sedan,SOLD,2023-03-28,2023-04-03,LEXUS
Hyundai Accent 1.4A,68888,11880,2018-09-24,2018,42000,608,Auto,20855,8503,26608,8503,1368,74,1115,Mid-Sized Sedan,AVAIL,2023-04-15,2023-04-16,HYUNDAI
Hyundai i30 Wagon 1.6A Sunroof (COE till 07/2024),13800,11090,2009-07-15,2009,154000,1033,Auto,3787,14728,15256,14728,1591,90,1360,Stationwagon,AVAIL,2023-04-12,2023-04-13,HYUNDAI
Volkswagen Sharan 2.0A TSI Panoramic Roof,60800,17050,2015-05-29,2014,95112,1194,Auto,45869,41054,76612,49476,1984,147,1790,SUV,AVAIL,2023-04-01,2023-04-16,VOLKSWAGEN
Subaru Forester 2.0A XT Sunroof,46888,16190,2015-08-28,2015,140000,1210,Auto,25008,17222,62140,17222,1998,177,1682,SUV,AVAIL,2023-04-06,2023-04-11,SUBARU
Volkswagen Golf 1.4A TSI Comfortline,89812,13703,2019-04-09,2019,113310,624,Auto,28761,19708,29159,19708,1395,92,1270,Hatchback,SOLD,2023-04-03,2023-04-15,VOLKSWAGEN
Audi A1 1.4A TFSI S-tronic (COE till 04/2031),84800,10620,2011-04-11,2011,88000,744,Auto,33768,25050,42283,25050,1390,90,1125,Hatchback,AVAIL,2023-04-16,2023-04-16,AUDI
Mercedes-Benz CLA-Class CLA180 Urban,111800,22250,2017-09-14,2017,65671,740,Auto,38018,28815,42801,27341,1595,90,1430,Luxury Sedan,AVAIL,2023-04-15,2023-04-17,MERCEDES-BENZ
Honda Civic 1.6A VTi-S,69410,14719,2015-11-05,2015,103384,742,Auto,35993,21669,57301,22337,1598,92,1225,Mid-Sized Sedan,SOLD,2023-03-24,2023-04-02,HONDA
Mercedes-Benz C-Class C180 Avantgarde,74034,20264,2016-01-12,2015,110620,740,Auto,38636,35428,59889,36600,1595,115,1425,Luxury Sedan,SOLD,2023-04-08,2023-04-11,MERCEDES-BENZ
BMW 6 Series 640i Gran Coupe Sunroof,210404,46701,2014-06-06,2013,60146,2362,Auto,87711,85073,67304,125132,2979,235,1750,Luxury Sedan,SOLD,2023-03-31,2023-04-12,BMW
Kia Sportage 2.0A GT Line,69800,15250,2016-12-12,2016,80227,1212,Auto,38847,25830,56206,28162,1999,114,1500,SUV,AVAIL,2023-04-17,2023-04-17,KIA
Toyota Estima 2.4A X Moonroof (COE till 03/2028),80598,11671,2008-03-06,2008,96416,2457,Auto,35944,25760,44998,27327,2362,125,1730,MPV,SOLD,2023-04-10,2023-04-14,TOYOTA
Hyundai Elantra 1.6A GLS,49000,13630,2016-05-30,2016,79742,738,Auto,23114,13007,47020,13007,1591,94,1345,Mid-Sized Sedan,AVAIL,2023-04-14,2023-04-14,HYUNDAI
Hyundai i30 1.4A T-GDi DCT Turbo,75434,12290,2019-05-17,2018,78137,600,Auto,36921,18251,48010,18251,1353,103,1240,Hatchback,SOLD,2023-03-29,2023-04-13,HYUNDAI
Mercedes-Benz CLA-Class CLA180 AMG Line,76500,21270,2016-03-24,2015,89000,740,Auto,31932,29396,51301,28155,1595,90,1430,Luxury Sedan,AVAIL,2023-04-11,2023-04-11,MERCEDES-BENZ
BMW 5 Series 540i M-Sport Sunroof,226800,28820,2019-05-06,2019,80000,2384,Auto,104544,73678,48209,104621,2998,250,1595,Luxury Sedan,AVAIL,2023-04-14,2023-04-14,BMW
Mercedes-Benz C-Class C180K (COE till 12/2030),87888,11400,2011-01-19,2010,166490,965,Auto,28769,31893,37303,31893,1597,115,1500,Luxury Sedan,AVAIL,2023-04-13,2023-04-13,MERCEDES-BENZ
BMW 5 Series 520i SE,161990,19781,2020-07-23,2019,50987,1210,Auto,62638,42506,35001,51509,1998,135,1615,Luxury Sedan,SOLD,2023-04-05,2023-04-06,BMW
Mercedes-Benz E-Class E350 Cabriolet (COE till 02/2032),138800,15640,2012-03-21,2011,80000,3797,Auto,71509,79168,80583,79168,3498,225,1785,Sports Car,AVAIL,2023-04-09,2023-04-17,MERCEDES-BENZ
BYD e6 Electric,108800,13430,2021-03-15,2019,27200,1443,Auto,36967,28000,41996,5000,1613,90,2420,Hatchback,AVAIL,2023-04-11,2023-04-16,BYD
Land Rover Range Rover Sport 5.0A SVR V8 Supercharged Carbon Edition,532357,81738,2022-01-10,2020,32547,5512,Auto,195925,145141,80401,233254,4999,423,2397,SUV,SOLD,2023-03-26,2023-04-08,LAND-ROVER
Toyota Corolla Altis 1.6A Standard,85800,13010,2019-02-15,2019,68700,742,Auto,29680,19741,25501,19741,1598,96,1230,Mid-Sized Sedan,AVAIL,2023-04-07,2023-04-07,TOYOTA
BMW 3 Series 320i Coupe Sunroof (COE till 09/2030),88800,11940,2010-09-23,2010,139000,1570,Auto,25986,36858,34935,36858,1995,115,1390,Sports Car,AVAIL,2023-04-15,2023-04-17,BMW
Land Rover Discovery Sport 2.0A Si4 7-Seater,154800,21930,2019-02-26,2019,42000,1210,Auto,59448,43062,34509,52287,1997,177,1865,SUV,AVAIL,2023-03-24,2023-03-24,LAND-ROVER
Peugeot 5008 1.2A PureTech EAT8 Allure Premium,168800,15920,2022-10-31,2022,3500,508,Auto,102568,29703,81089,33585,1199,96,1430,SUV,AVAIL,2023-04-02,2023-04-02,PEUGEOT
Opel Vivaro-e Electric,127800,14820,2021-11-30,2021,11700,1061,Auto,27181,46966,31525,2349,2976,96,2120,Van,AVAIL,2023-04-07,2023-04-14,OPEL
Volkswagen Tiguan 2.0A TSI (COE till 10/2031),108800,12730,2012-02-07,2011,90000,1433,Auto,51772,27218,60586,27218,1984,132,1659,SUV,AVAIL,2023-04-17,2023-04-17,VOLKSWAGEN
Nissan Cabstar,58800,12510,2017-12-29,2017,60625,754,Manual,25530,27176,54334,1359,2953,107,1780,Truck,AVAIL,2023-04-12,2023-04-17,NISSAN
Audi Q5 2.0A TFSI Quattro S-tronic,187800,21890,2020-08-28,2019,46000,1194,Auto,68379,43622,38802,53071,1984,185,1795,SUV,AVAIL,2023-03-31,2023-04-13,AUDI
Suzuki Swift 1.3A (COE till 02/2029),54800,9370,2009-02-20,2008,135260,876,Auto,15049,12923,25727,12923,1328,67,1040,Hatchback,AVAIL,2023-04-13,2023-04-14,SUZUKI
Aston Martin Vanquish 6.0A,670000,105830,2017-09-25,2016,15000,6976,Auto,301034,237757,48001,399963,5935,423,1739,Sports Car,AVAIL,2023-04-06,2023-04-06,ASTON
Mercedes-Benz G-Class G63 AMG 4MATIC,750000,77170,2021-05-27,2020,14000,3922,Auto,234648,153313,60001,247964,3982,430,2560,SUV,AVAIL,2023-04-14,2023-04-17,MERCEDES-BENZ
Mazda 6 2.0A Executive,71800,14990,2017-04-10,2016,107000,1210,Auto,37256,23023,54501,24233,1998,121,1472,Luxury Sedan,AVAIL,2023-04-14,2023-04-17,MAZDA
Toyota Estima 2.4A Aeras Moonroof (COE till 05/2031),112800,13880,2011-07-28,2009,118675,1966,Auto,40386,35471,49716,35471,2362,125,1770,MPV,AVAIL,2023-04-10,2023-04-16,TOYOTA
Porsche 911 C2S Coupe Tip (COE till 06/2025),142888,64790,2005-07-12,2005,152000,5511,Auto,16439,132495,74629,145745,3824,261,1535,Sports Car,AVAIL,2023-03-29,2023-04-07,PORSCHE
Mercedes-Benz GLC-Class GLC200,162938,18190,2018-03-29,2018,59752,1202,Auto,65639,42511,42322,51516,1991,135,1705,SUV,SOLD,2023-03-26,2023-03-28,MERCEDES-BENZ
Nissan Juke 1.6A,52800,14530,2016-04-27,2015,129339,742,Auto,25387,17647,46009,17647,1598,86,1218,SUV,AVAIL,2023-04-08,2023-04-16,NISSAN
Kia Cerato Forte 1.6A SX (COE till 05/2024),12888,11470,2009-06-29,2009,194468,1033,Auto,3132,14114,13943,14114,1591,93,1251,Mid-Sized Sedan,SOLD,2023-03-24,2023-03-26,KIA
Toyota Corolla Altis 1.6A (COE till 12/2028),55800,9860,2008-12-12,2008,136790,1113,Auto,15598,16084,27571,16084,1598,80,1195,Mid-Sized Sedan,AVAIL,2023-04-16,2023-04-17,TOYOTA
