model,price,depreciation,registration_date,manufactured_year,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,types,status,maker
Hyundai Avante 1.6A (COE till 03/2029),72850,11799,3/13/2009,2009,50471,1107,Auto,23046,11943,25525,11943,1591,90,1264,Mid-Sized Sedan,SOLD,HYUNDAI
Tesla Model 3 Electric Standard Range Plus,205800,19900,11/14/2022,2020,6000,3226,Auto,108476,57288,108003,30119,2192,239,1611,Luxury Sedan,AVAIL,TESLA
Toyota GR Supra 3.0A RZ,306888,32660,6/29/2021,2021,7000,2384,Auto,103096,58867,58001,77961,2998,250,1495,Sports Car,AVAIL,TOYOTA
Subaru BRZ 2.0A,160888,22180,11/29/2019,2019,22973,1210,Auto,47304,25738,39700,28034,1998,147,1328,Sports Car,AVAIL,SUBARU
Volkswagen Jetta 1.4A TSI Sportline  Sunroof,70876,16819,10/31/2016,2015,110034,620,Auto,26870,21906,50000,22669,1390,90,1417,Mid-Sized Sedan,SOLD,VOLKSWAGEN
Lexus ES250 Executive Sunroof,166226,23205,10/22/2018,2018,38570,1784,Auto,56325,39999,31301,47999,2487,152,1620,Luxury Sedan,SOLD,LEXUS
Bentley Bentayga 6.0A,460800,76080,11/18/2016,2016,66000,7000,Auto,263968,224157,55501,375483,5950,447,2440,SUV,AVAIL,BENTLEY
Mercedes-Benz C-Class C180 Coupe,175800,21780,3/27/2020,2019,29900,684,Auto,59535,40726,32801,49017,1497,115,1595,Sports Car,AVAIL,MERCEDES-BENZ
Toyota Corolla Altis 1.6A Classic,47888,14850,12/1/2015,2015,55226,742,Auto,26204,17804,59200,17804,1598,90,1205,Mid-Sized Sedan,AVAIL,TOYOTA
Toyota Sienta 1.5A Elegance,85800,16390,12/15/2017,2017,73000,682,Auto,32886,18792,42339,18792,1496,79,1350,MPV,AVAIL,TOYOTA
Mercedes-Benz SLK-Class SLK200K (COE till 02/2029),73000,12430,3/31/2009,2008,175000,1364,Auto,18749,50335,31933,50335,1796,135,1415,Sports Car,AVAIL,MERCEDES-BENZ
Volkswagen Golf Variant 1.4A TSI R-Line Sunroof,68800,19540,4/13/2016,2015,89830,624,Auto,26226,27721,46009,20810,1395,92,1347,Stationwagon,AVAIL,VOLKSWAGEN
Lexus IS250 (COE till 09/2028),115485,19558,12/12/2008,2008,155535,2700,Auto,19834,37374,33377,37374,2500,153,1625,Luxury Sedan,SOLD,LEXUS
Mercedes-Benz E-Class E300 Coupe AMG Line Premium Plus,255800,27810,11/20/2020,2018,13000,1202,Auto,97981,65012,41101,89022,1991,180,1685,Sports Car,AVAIL,MERCEDES-BENZ
Mercedes-Benz G-Class G400d AMG Line 4MATIC Premium,435341,43006,6/4/2021,2020,27022,3268,Auto,173274,111149,63002,172069,2925,243,2451,SUV,SOLD,MERCEDES-BENZ
Perodua Bezza 1.3M Premium X (OPC),27725,11241,5/3/2018,2018,149243,84,Manual,9071,10959,20000,10959,1329,70,900,Mid-Sized Sedan,AVAIL,PERODUA
Toyota C-HR Hybrid 1.8A S,83291,15036,5/25/2018,2018,64371,974,Auto,27312,27363,37010,10309,1797,90,1440,SUV,SOLD,TOYOTA
Audi A4 1.4A TFSI S-tronic,68800,17620,5/10/2016,2016,171300,624,Auto,33670,34059,47510,29683,1395,110,1450,Luxury Sedan,AVAIL,AUDI
Audi A4 Avant 2.0A TFSI MU (COE till 04/2031),105000,13060,5/25/2011,2011,127000,1433,Auto,38034,45408,47316,45408,1984,155,1530,Stationwagon,AVAIL,AUDI
Ssangyong Tivoli 1.6A,74777,11190,3/12/2019,2017,70998,742,Auto,28602,17435,26309,17435,1597,95,1300,SUV,AVAIL,SSANGYONG
Mercedes-Benz GLC-Class GLC300 Coupe AMG Line 4MATIC,226000,28150,1/10/2020,2019,45294,1202,Auto,80080,55968,37900,72743,1991,190,1795,SUV,AVAIL,MERCEDES-BENZ
Honda Odyssey 2.4A EX-S,88800,19040,2/2/2017,2016,65000,1630,Auto,41503,29302,52807,33023,2356,129,1769,MPV,AVAIL,HONDA
Volkswagen Sharan 2.0A TSI,118000,17280,11/30/2018,2018,63000,1194,Auto,49194,35446,32000,41625,1984,162,1790,MPV,AVAIL,VOLKSWAGEN
Kia Cerato Forte 1.6A EX (COE till 10/2025),24678,11557,3/30/2011,2009,153901,886,Auto,7123,11371,17600,11371,1591,93,1251,Mid-Sized Sedan,SOLD,KIA
Mercedes-Benz B-Class B180 Style,32500,16040,9/4/2014,2014,147000,740,Auto,20251,27572,64600,20601,1595,90,1425,Hatchback,AVAIL,MERCEDES-BENZ
Toyota Prius C Hybrid 1.5A,119417,12538,11/28/2013,2012,1536,684,Auto,72585,22923,74991,5000,1497,74,1120,Hatchback,SOLD,TOYOTA
Volkswagen Golf GTI 5DR Sunroof,133800,19930,12/28/2018,2018,39800,1194,Auto,47907,34521,31809,40330,1984,169,1408,Sports Car,AVAIL,VOLKSWAGEN
BMW M Series M3 Coupe Competition Package (COE till 07/2031),149800,18060,1/31/2012,2011,176000,4738,Auto,48047,90823,57955,90823,3999,309,1600,Sports Car,AVAIL,BMW
Honda N-Van Turbo Style Fun Honda Sensing,82588,8820,8/27/2022,2022,8000,604,Auto,38132,17893,40720,895,658,83,920,Van,AVAIL,HONDA
Honda Odyssey 2.4A EXV-S Sunroof,142800,19790,7/30/2019,2019,56000,1630,Auto,48910,31943,34000,36721,2356,129,1858,MPV,AVAIL,HONDA
Audi S5 Coupe 4.2A FSI Quattro (COE till 02/2029),135750,23140,2/26/2009,2008,94000,6309,Auto,18722,64338,31933,64338,4163,260,1750,Sports Car,AVAIL,AUDI
Honda Vezel 1.5A X,48913,14560,9/3/2015,2015,69967,682,Auto,22734,18167,56209,8167,1496,96,1190,SUV,SOLD,HONDA
Mazda 5 2.0A Sunroof,70888,23810,11/20/2015,2015,118126,1210,Auto,25849,18244,57501,18244,1998,111,1535,MPV,AVAIL,MAZDA
Toyota Corolla Altis 1.6A Classic,53588,13950,6/28/2016,2016,94922,742,Auto,29322,17982,55200,17982,1598,90,1205,Mid-Sized Sedan,AVAIL,TOYOTA
Toyota Wish 1.8A Elegance,69936,23141,12/29/2014,2014,55492,976,Auto,34914,23454,74000,19836,1798,105,1360,MPV,SOLD,TOYOTA
Alfa Romeo Giulia 2.0A Veloce,123800,19960,9/13/2017,2017,90000,1208,Auto,72122,55349,50000,71629,1995,206,1504,Sports Car,AVAIL,ALFA
Toyota Esquire 2.0A Gi,122944,16628,12/19/2019,2016,49894,1196,Auto,48833,30161,36000,34226,1986,112,1600,MPV,SOLD,TOYOTA
Toyota Harrier Hybrid 2.5A Premium,199800,20050,5/25/2022,2021,6700,1784,Auto,109588,40927,92090,34298,2487,160,1665,SUV,AVAIL,TOYOTA
Volkswagen Jetta GP 1.4A TSI,34800,15820,3/30/2015,2014,88000,620,Auto,16934,17875,64700,7875,1390,90,1417,Mid-Sized Sedan,AVAIL,VOLKSWAGEN
Mercedes-Benz C-Class C160 Avantgarde,161500,18010,2/25/2021,2020,7400,684,Auto,64066,34165,43501,39831,1497,95,1505,Luxury Sedan,AVAIL,MERCEDES-BENZ
Subaru Forester 2.0A XT Sunroof,77578,15183,4/18/2013,2012,62476,1210,Auto,45975,20723,67010,21013,1998,177,1635,SUV,SOLD,SUBARU
Mercedes-Benz GLC-Class GLC200,165500,23150,4/29/2019,2019,71000,1202,Auto,62455,42557,39401,51580,1991,135,1705,SUV,AVAIL,MERCEDES-BENZ
Citroen Grand C4 Picasso Diesel 1.6A BlueHDi Panoramic Roof,86478,14657,8/1/2017,2017,57893,1144,Auto,34169,26140,42801,13596,1560,88,1365,MPV,SOLD,CITROEN
Lexus IS250 Luxury (COE till 11/2028),68500,12270,11/14/2008,2008,147843,2700,Auto,17917,41697,32121,41697,2500,153,1625,Luxury Sedan,AVAIL,LEXUS
Toyota Vios 1.5M E (COE till 03/2024),11314,12281,3/12/2009,2009,129487,1026,Manual,2577,11515,12763,11515,1497,80,1075,Mid-Sized Sedan,SOLD,TOYOTA
Honda Vezel Hybrid 1.5A X Honda Sensing,96800,14010,6/11/2019,2016,79900,682,Auto,42060,27981,42564,21174,1496,112,1280,SUV,AVAIL,HONDA
Maybach 62 S Long (COE till 12/2030),1190000,154300,12/27/2011,2011,5000,8455,Auto,31389,765955,40714,765955,5980,463,2905,Luxury Sedan,AVAIL,MAYBACH
Toyota Harrier 2.0A Premium Panoramic Roof,41800,19910,9/25/2014,2014,89000,1196,Auto,23743,31590,65002,26226,1986,111,1620,SUV,AVAIL,TOYOTA
Nissan Sylphy 1.5A (COE till 03/2029),57800,9700,9/28/2009,2009,132079,958,Auto,15203,18002,25525,18002,1498,80,1175,Mid-Sized Sedan,AVAIL,NISSAN
Honda City 1.5A SV,59800,14170,1/23/2017,2016,72196,684,Auto,27036,17760,49751,12760,1497,88,1096,Mid-Sized Sedan,AVAIL,HONDA
Mercedes-Benz A-Class A250 Sport Sunroof,102969,19683,6/22/2015,2015,56141,1202,Auto,53279,33824,75000,34354,1991,155,1465,Hatchback,AVAIL,MERCEDES-BENZ
Mercedes-Benz C-Class C180 Avantgarde,90800,20090,11/22/2016,2016,103012,740,Auto,43969,35663,55501,36929,1595,115,1425,Luxury Sedan,AVAIL,MERCEDES-BENZ
Honda Shuttle 1.5A G,69800,13600,2/5/2018,2017,58100,682,Auto,23922,18864,36890,8864,1496,97,1130,Stationwagon,AVAIL,HONDA
Mercedes-Benz CLA-Class CLA180 Shooting Brake Urban,105615,16542,4/19/2018,2018,67273,740,Auto,47515,32685,38200,37759,1595,90,1430,Stationwagon,SOLD,MERCEDES-BENZ
Mercedes-Benz A-Class A180,54900,18590,9/25/2015,2015,104751,740,Auto,25139,22896,56209,19055,1595,90,1395,Hatchback,AVAIL,MERCEDES-BENZ
Lexus ES Hybrid ES300h Sunroof,39900,34880,11/8/2013,2013,109000,1792,Auto,24676,42006,80000,40809,2494,151,1705,Luxury Sedan,AVAIL,LEXUS
Polestar 2 Electric Long Range Dual Motor,213800,23370,12/21/2021,2021,18000,4180,Auto,86107,52647,80401,21765,2029,300,2188,Luxury Sedan,AVAIL,POLESTAR
Honda Civic 1.6A VTi,84218,12640,6/7/2019,2019,88012,742,Auto,28193,19955,26170,19955,1597,92,1237,Mid-Sized Sedan,SOLD,HONDA
BMW 6 Series 630Ci Cabriolet (COE till 09/2026),178181,23779,9/19/2006,2006,103580,3573,Auto,54262,84709,56835,93180,2996,190,1775,Sports Car,SOLD,BMW
BMW 5 Series 523i (COE till 11/2030),98800,12960,11/29/2010,2010,70000,2335,Auto,30487,42170,40014,42170,2497,150,1650,Luxury Sedan,AVAIL,BMW
Mercedes-Benz CLA-Class CLA200 Shooting Brake,99577,18699,4/21/2016,2015,98829,740,Auto,38399,33631,46970,34084,1595,115,1460,Stationwagon,SOLD,MERCEDES-BENZ
Porsche Boxster 2.7A Tip (COE till 09/2028),115500,17663,9/15/2008,2006,42000,3027,Auto,26825,59713,33377,59713,2687,180,1420,Sports Car,AVAIL,PORSCHE
Mercedes-Benz C-Class C180K (COE till 03/2029),69800,11760,3/23/2009,2008,148181,1364,Auto,19585,37079,33018,37079,1796,115,1485,Luxury Sedan,AVAIL,MERCEDES-BENZ
Toyota Estima 2.4A (COE till 06/2026),43888,13690,10/28/2006,2006,177000,2457,Auto,15527,34298,48479,37728,2362,125,1780,MPV,AVAIL,TOYOTA
Honda N-Van Turbo Style Fun Honda Sensing,89800,9020,3/29/2023,2022,30,829,Auto,53508,17976,53773,899,658,83,920,Van,AVAIL,HONDA
Audi Q3 2.0A TFSI Quattro S-tronic,195800,19550,5/20/2022,2022,7500,1194,Auto,116832,31343,98889,35881,1984,140,1695,SUV,AVAIL,AUDI
BMW 2 Series 216d Active Tourer Luxury,68800,17090,9/14/2016,2016,98000,1082,Auto,31192,27843,51506,20981,1496,85,1395,Hatchback,AVAIL,BMW
Honda Vezel 1.5A X,31681,16125,6/23/2015,2015,99763,682,Auto,15573,18983,66590,5000,1496,96,1190,SUV,SOLD,HONDA
Audi A6 Mild Hybrid 2.0A TFSI S-tronic Design,247373,24020,6/30/2022,2021,6854,1194,Auto,133119,41905,106001,50667,1984,140,1680,Luxury Sedan,SOLD,AUDI
Mitsubishi Attrage 1.2A,88300,10680,4/29/2021,2021,21652,506,Auto,43625,14423,49640,5000,1193,59,945,Mid-Sized Sedan,AVAIL,MITSUBISHI
Honda Civic 1.6A VTi-S,49871,15560,4/6/2015,2014,131731,742,Auto,27570,20036,61410,20051,1598,92,1225,Mid-Sized Sedan,SOLD,HONDA
BMW M5 (COE till 07/2032),199999,21510,8/29/2012,2011,120000,5025,Auto,90307,101632,97176,101632,4395,412,1945,Sports Car,AVAIL,BMW
Mazda 3 1.5A,48800,12120,9/20/2016,2016,104947,682,Auto,27093,19544,51506,14544,1496,88,1321,Mid-Sized Sedan,AVAIL,MAZDA
Mercedes-Benz CLA-Class CLA180,49800,21950,2/2/2015,2014,119000,740,Auto,23573,27649,67889,20709,1595,90,1430,Luxury Sedan,AVAIL,MERCEDES-BENZ
