model,price,depreciation,registration_date,manufactured_year,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,types,status,maker
Renault Grand Scenic Diesel 1.5A dCi,88000,14580,9/20/2018,2018,66000,1048,Auto,29608,25440,30209,17616,1461,81,1540,MPV,AVAIL,RENAULT
Hyundai Avante 1.6A Elite Sunroof,123889,14080,11/2/2021,2021,11589,742,Auto,50352,21487,52709,7082,1598,91,1280,Mid-Sized Sedan,AVAIL,HYUNDAI
Lexus RX350 (COE till 09/2027),66800,14990,10/5/2007,2007,115193,4650,Auto,35424,45988,50355,50587,3456,203,1915,SUV,AVAIL,LEXUS
Mercedes-Benz E-Class E200 Exclusive,194800,23470,1/16/2020,2019,42500,1202,Auto,81204,55854,39700,72538,1991,145,1640,Luxury Sedan,AVAIL,MERCEDES-BENZ
Mercedes-Benz GLE-Class GLE450 AMG 4MATIC,186888,35100,1/20/2017,2016,73000,2382,Auto,92485,76520,56340,109736,2996,270,2180,SUV,AVAIL,MERCEDES-BENZ
Volkswagen Golf GTI 5DR Sunroof,128800,21640,4/23/2018,2018,65000,1194,Auto,48967,34515,37330,40321,1984,169,1408,Sports Car,AVAIL,VOLKSWAGEN
Peugeot 2008 Active Puretech 1.2A Sunroof,49777,12350,12/30/2016,2016,84000,508,Auto,23669,18083,49751,8083,1199,81,1140,SUV,AVAIL,PEUGEOT
Honda N-Van Turbo Style Fun Honda Sensing,91800,9750,9/14/2022,2022,11038,648,Auto,43574,17400,46288,870,658,85,920,Van,AVAIL,HONDA
Mercedes-Benz C-Class C180K (COE till 11/2027),65000,14060,1/4/2008,2007,112000,1461,Auto,23187,36775,50168,40453,1796,115,1485,Luxury Sedan,AVAIL,MERCEDES-BENZ
Mercedes-Benz S-Class S400L,149800,34700,7/1/2015,2014,70260,2382,Auto,104431,96954,75000,146518,2996,245,1935,Luxury Sedan,AVAIL,MERCEDES-BENZ
Audi A3 Sedan 1.4A TFSI Ambiente,64974,18345,12/28/2015,2015,100590,624,Auto,30220,27642,54301,20699,1395,92,1310,Luxury Sedan,SOLD,AUDI
Volkswagen Golf 1.2A TSI,26800,17770,8/29/2014,2014,119744,508,Auto,11331,18097,62890,5000,1197,77,1229,Hatchback,AVAIL,VOLKSWAGEN
Toyota Corolla Altis 1.6A Elegance,102888,13720,12/20/2019,2019,166000,742,Auto,38801,21754,32889,22456,1598,96,1315,Mid-Sized Sedan,AVAIL,TOYOTA
Mercedes-Benz GLC-Class GLC250 4MATIC,186800,25280,7/25/2019,2019,28000,1202,Auto,69327,45996,43102,56395,1991,155,1735,SUV,AVAIL,MERCEDES-BENZ
Mercedes-Benz E-Class E250 CGI (COE till 03/2030),92023,14187,4/19/2010,2009,155982,1266,Auto,23001,53000,35416,53000,1796,150,1650,Luxury Sedan,SOLD,MERCEDES-BENZ
BMW X6 xDrive35i Sunroof (COE till 12/2028),151200,26820,12/5/2008,2008,117500,3543,Auto,17782,73434,31553,73434,2979,306,2145,SUV,AVAIL,BMW
Nissan NV200 1.6A DX,68394,9973,12/11/2020,2020,70391,365,Auto,17367,21218,24802,1061,1597,79,1220,Van,SOLD,NISSAN
Audi S3 2.0M TFSI Quattro (COE till 06/2027),81800,19510,6/26/2007,2007,158000,1791,Auto,22658,54550,54088,60005,1984,188,1455,Sports Car,AVAIL,AUDI
Bentley Continental Flying Spur 6.0A (COE till 04/2031),178800,22240,5/24/2011,2008,88525,8489,Auto,38034,132569,47316,132569,5998,412,2600,Luxury Sedan,AVAIL,BENTLEY
Volvo S80 D2 Diesel,29800,17580,2/7/2014,2012,155000,1144,Auto,21359,38706,71564,31189,1560,84,1596,Luxury Sedan,AVAIL,VOLVO
Audi A3 Sedan 1.4A TFSI S-tronic Ambition,31500,18220,6/26/2014,2014,158000,624,Auto,18575,30408,65689,19572,1395,90,1310,Luxury Sedan,AVAIL,AUDI
BMW X1 sDrive20i M-Sport,155800,17780,8/14/2020,2020,50000,1210,Auto,63874,42149,35001,51009,1998,141,1485,SUV,AVAIL,BMW
Mazda 3 1.5A,52300,11880,4/18/2017,2017,93904,682,Auto,26200,14476,50101,9476,1496,88,1310,Mid-Sized Sedan,AVAIL,MAZDA
Mercedes-Benz S-Class S500L Mild Hybrid AMG Line 4MATIC Premium,469000,46280,7/30/2021,2021,15400,2384,Auto,177785,110489,63002,170881,2999,336,2065,Luxury Sedan,AVAIL,MERCEDES-BENZ
Audi A3 Sedan 1.4A TFSI Ambiente,36041,17460,8/27/2014,2014,116279,624,Auto,19621,27205,65710,15087,1395,90,1310,Luxury Sedan,SOLD,AUDI
BMW 5 Series 520i,84800,21190,10/5/2015,2014,128400,1210,Auto,53793,51665,60001,64997,1997,135,1685,Luxury Sedan,AVAIL,BMW
Honda Freed 1.5A G (COE till 08/2030),88800,12040,9/1/2010,2008,113038,887,Auto,23741,20999,32190,20999,1496,87,1300,MPV,AVAIL,HONDA
Lexus UX Hybrid UX250h Executive,90837,14983,4/5/2021,2021,103012,1198,Auto,40448,41062,50100,34487,1987,135,1570,SUV,SOLD,LEXUS
SEAT Ateca 1.4A TSI Xcellence,159888,15220,10/10/2022,2020,9509,624,Auto,114207,27893,95856,31051,1395,110,1377,SUV,AVAIL,SEAT
Chrysler 300C,58800,18710,7/10/2014,2013,36000,3330,Auto,47624,55316,67290,71569,3604,210,1876,Luxury Sedan,AVAIL,CHRYSLER
BMW 5 Series 530i Luxury,133777,25730,4/21/2017,2017,66000,1210,Auto,64421,49363,54000,61109,1998,185,1540,Luxury Sedan,AVAIL,BMW
Porsche Cayenne GTS 4.8A Tip (New 10-yr COE),186470,23008,3/18/2013,2012,100373,5731,Auto,26536,126488,41588,126488,4806,309,2085,SUV,SOLD,PORSCHE
Kia Cerato 1.6A EX (OPC),14519,11409,11/2/2018,2018,155414,238,Auto,4147,13967,14997,13967,1591,94,1287,Mid-Sized Sedan,AVAIL,KIA
Suzuki Jimny Sierra 1.5A JC,168988,17160,7/1/2022,2021,11,662,Auto,85456,21337,74989,21872,1460,75,1090,SUV,AVAIL,SUZUKI
Citroen e-Dispatch Electric,115800,12080,11/16/2022,2022,42953,954,Auto,52972,43025,55258,2152,2137,92,2000,Van,AVAIL,CITROEN
Proton Gen 2 1.3M (COE till 10/2027),37800,8440,10/9/2007,2007,160000,879,Manual,19055,9218,42564,10140,1332,70,1150,Hatchback,AVAIL,PROTON
Kia Sportage 2.0A GT Line,79800,15680,7/28/2017,2017,90000,1212,Auto,39178,23823,50110,25353,1999,114,1500,SUV,AVAIL,KIA
Toyota Corolla Altis 1.6A Elegance,54800,14470,5/27/2016,2015,150000,742,Auto,27611,19589,47889,19589,1598,90,1205,Mid-Sized Sedan,SOLD,TOYOTA
Mazda 3 1.5A Sunroof,61067,13023,6/22/2017,2017,68014,682,Auto,26772,16083,45201,11083,1496,88,1310,Mid-Sized Sedan,SOLD,MAZDA
Honda Civic 1.8A VTi-S GL (COE till 10/2025),17977,14538,11/4/2010,2009,162517,1271,Auto,4052,23235,19108,23235,1799,103,1240,Mid-Sized Sedan,SOLD,HONDA
Mercedes-Benz CLA-Class CLA180 Progressive,162800,18350,1/28/2021,2020,35000,586,Auto,57894,34200,39500,39880,1332,96,1410,Luxury Sedan,AVAIL,MERCEDES-BENZ
Honda Odyssey 2.4A EXV-S Sunroof,53888,23470,11/28/2014,2014,100000,1630,Auto,29314,28509,72890,31913,2356,129,1855,MPV,AVAIL,HONDA
Honda Vezel Hybrid 1.5A X Honda Sensing,89800,14430,11/16/2018,2018,48000,682,Auto,31268,26021,32552,18430,1496,112,1280,SUV,AVAIL,HONDA
Toyota Vios 1.5A E (COE till 09/2023),17057,11130,9/29/2008,2008,95567,1026,Auto,4922,11834,16170,8960,1497,80,1095,Mid-Sized Sedan,SOLD,TOYOTA
Honda Jade 1.5A RS,70000,17370,7/25/2016,2016,106500,682,Auto,35932,24552,57501,26373,1496,110,1510,MPV,AVAIL,HONDA
Toyota C-HR Hybrid 1.8A G,122800,14010,4/21/2021,2017,22765,974,Auto,52096,31457,47806,21040,1797,90,1440,SUV,AVAIL,TOYOTA
BMW 3 Series 320i Gran Turismo,38800,26734,9/30/2013,2013,87000,1210,Auto,27759,43992,77100,48589,1997,135,1560,Luxury Sedan,AVAIL,BMW
Subaru Impreza WRX 5D 2.5M STI (COE till 11/2028),92000,16350,7/31/2009,2008,144445,2450,Manual,18067,31725,32121,31725,2457,221,1505,Sports Car,AVAIL,SUBARU
Honda Jade 1.5A RS,73800,16000,12/16/2016,2016,102791,682,Auto,39092,27338,53001,30274,1496,110,1514,MPV,AVAIL,HONDA
Peugeot 3008 1.2A PureTech EAT8 Active Premium,130800,13650,12/16/2021,2021,8000,508,Auto,68083,23504,57010,24906,1199,96,1320,SUV,AVAIL,PEUGEOT
BMW 5 Series 520i Sport,183800,22260,1/30/2020,2019,34844,1210,Auto,74538,51807,37705,65253,1998,135,1540,Luxury Sedan,AVAIL,BMW
Honda S2000 2.2M (COE till 07/2027),175000,41560,7/3/2007,2007,10000,2094,Manual,22082,48472,52473,53320,2156,178,1250,Sports Car,AVAIL,HONDA
Toyota Vios 1.5A E (COE till 05/2024),14286,11198,5/27/2009,2009,111430,958,Auto,3842,12468,13943,9366,1497,80,1095,Mid-Sized Sedan,SOLD,TOYOTA
Toyota Prius Plus Hybrid 1.8A,123888,16080,3/31/2020,2019,77000,976,Auto,44225,30007,37705,24010,1798,100,1500,MPV,AVAIL,TOYOTA
Mercedes-Benz A-Class A180 Style,63800,19810,1/12/2016,2015,84551,740,Auto,26760,22896,56001,19055,1595,90,1395,Hatchback,AVAIL,MERCEDES-BENZ
Nissan GTR 3.8A,518000,50503,10/29/2021,2019,5000,3636,Auto,170958,94405,70002,141929,3799,419,1821,Sports Car,AVAIL,NISSAN
Bentley Bentayga 4.0A V8,1088988,93850,9/9/2022,2021,88,3944,Auto,416017,215028,113000,413062,3996,404,2490,SUV,AVAIL,BENTLEY
Honda HR-V 1.5A LX,61800,14540,11/7/2016,2016,124348,682,Auto,32024,23634,53334,20088,1496,96,1190,SUV,AVAIL,HONDA
Mazda CX-3 2.0A Standard,81029,11826,9/30/2018,2018,69685,1210,Auto,30831,17198,32551,17198,1998,115,1290,SUV,SOLD,MAZDA
Mercedes-Benz GLA-Class GLA180,85000,19930,10/26/2016,2015,108888,740,Auto,37096,26737,50991,29432,1595,90,1470,SUV,AVAIL,MERCEDES-BENZ
Mercedes-Benz E-Class E200 AMG Edition E,82800,20730,11/2/2015,2015,124500,1202,Auto,50847,48634,58190,60088,1991,135,1655,Luxury Sedan,AVAIL,MERCEDES-BENZ
Toyota Estima 2.4A Aeras (COE till 08/2027),72288,16384,9/29/2007,2007,158743,2457,Auto,32572,30114,50972,33126,2362,125,1770,MPV,SOLD,TOYOTA
Honda Mobilio 1.5A RS i-VTEC Luxe,55850,15103,3/15/2016,2016,84181,684,Auto,27577,19588,51301,19588,1497,88,1160,MPV,SOLD,HONDA
Toyota Corolla Altis 1.6A (COE till 06/2029),86641,13159,6/29/2009,2009,48691,1039,Auto,30374,17500,29839,17500,1598,80,1195,Mid-Sized Sedan,SOLD,TOYOTA
Audi Q2 1.0A TFSI S-tronic,88800,15030,3/27/2018,2017,81000,392,Auto,39023,26368,38000,28916,999,85,1315,SUV,AVAIL,AUDI
Mercedes-Benz CLA-Class CLA180 AMG Line Sunroof,101800,19300,9/27/2017,2017,115800,740,Auto,41432,32109,42902,31953,1595,90,1430,Luxury Sedan,AVAIL,MERCEDES-BENZ
Porsche Cayman R 3.4A PDK (COE till 10/2032),218000,22830,11/12/2012,2011,115000,3375,Auto,104656,91706,109643,91706,3436,330,1395,Sports Car,AVAIL,PORSCHE
Kia Sportage 2.0A GT Line,95440,15123,12/14/2017,2017,51949,1212,Auto,49243,23482,57390,24875,1999,114,1500,SUV,SOLD,KIA
Mazda 5 2.0A Sunroof,55800,18380,10/30/2015,2015,93569,1210,Auto,25720,18323,58801,18323,1998,111,1535,MPV,AVAIL,MAZDA
Lexus RX350h Hybrid Luxury,378888,33500,1/11/2023,2022,1500,2314,Auto,178135,73917,102002,105051,2487,184,1957,SUV,AVAIL,LEXUS
Mitsubishi Lancer EX 1.6A,65024,12471,6/19/2017,2017,75529,738,Auto,30158,12483,46489,12483,1590,86,1284,Mid-Sized Sedan,SOLD,MITSUBISHI
Nissan Sylphy 1.6A,28800,14940,11/12/2014,2014,131000,742,Auto,16020,15603,64900,10603,1598,85,1205,Mid-Sized Sedan,AVAIL,NISSAN
Honda Vezel 1.5A X,95800,14330,6/28/2019,2019,50000,682,Auto,29015,22778,30009,13890,1496,96,1190,SUV,AVAIL,HONDA
Honda Civic 1.6A VTi (COE till 06/2025),18115,14435,6/22/2010,2008,177714,962,Auto,3895,23808,16438,23808,1595,92,1220,Mid-Sized Sedan,SOLD,HONDA
Toyota Vellfire 2.5A X 8-Seater,265803,29230,6/24/2021,2020,18000,1792,Auto,88340,43433,62100,52807,2493,134,1920,MPV,AVAIL,TOYOTA
Audi A5 Sportback 2.0A TFSI Quattro,52500,17430,9/25/2014,2014,135113,1194,Auto,40479,48408,71990,54772,1984,165,1615,Luxury Sedan,AVAIL,AUDI
Hyundai Elantra 1.6A GLS S,75000,12310,11/14/2018,2018,85000,738,Auto,25048,12572,28000,12572,1591,94,1345,Mid-Sized Sedan,AVAIL,HYUNDAI
Porsche Panamera 3.6A PDK (COE till 08/2030),137800,18680,6/24/2011,2011,136599,3998,Auto,24275,109931,32914,109931,3605,300,1760,Sports Car,AVAIL,PORSCHE
Volvo V60 T5 R-Design,185000,22100,8/25/2020,2019,12000,1176,Auto,62041,37616,38802,44663,1969,187,1782,Stationwagon,AVAIL,VOLVO
Porsche Boxster S 3.4A PDK,198888,189180,1/2/2014,2013,80888,3068,Auto,70101,87390,77100,129302,3436,232,1425,Sports Car,AVAIL,PORSCHE
BMW 2 Series 216i Active Tourer,117713,16317,5/30/2019,2019,56002,684,Auto,48304,29931,36704,33904,1499,80,1380,Hatchback,SOLD,BMW
Toyota Voxy Hybrid 1.8A S G,209988,20560,1/30/2023,2022,11,696,Auto,112859,28791,102002,17308,1797,103,1650,MPV,AVAIL,TOYOTA
Toyota Raize 1.0A XS (OPC),89000,10400,8/11/2021,2020,17000,70,Auto,27197,19498,28189,5000,996,72,970,SUV,AVAIL,TOYOTA
Honda Accord Euro R 2.0M (COE till 07/2026),68800,20910,1/16/2007,2006,60000,1815,Manual,16974,27909,51630,30700,1998,162,1390,Sports Car,AVAIL,HONDA
Nissan Note e-POWER Hybrid 1.2A Premium,109800,12280,12/20/2021,2021,7000,714,Auto,54330,21061,57010,6486,1198,85,1220,Hatchback,AVAIL,NISSAN
Mercedes-Benz A-Class A180 Style,89888,19930,4/17/2017,2016,105000,740,Auto,32994,23830,49430,20362,1595,90,1395,Hatchback,AVAIL,MERCEDES-BENZ
Mazda 2 HB 1.5A Deluxe,72705,10785,8/18/2020,2019,129604,682,Auto,24333,18325,33000,18325,1496,85,1067,Hatchback,SOLD,MAZDA
Mercedes-Benz E-Class E250 Cabriolet AMG Line (COE till 07/2030),100973,16202,7/23/2010,2010,137566,1266,Auto,22501,58545,33568,58545,1796,150,1695,Sports Car,SOLD,MERCEDES-BENZ
Volkswagen Golf 1.4A TSI R-Line Sunroof,59800,17330,4/1/2016,2015,107796,624,Auto,24334,25089,47604,17125,1395,110,1288,Hatchback,AVAIL,VOLKSWAGEN
Mazda 5 2.0A Sunroof,54800,13960,6/30/2016,2016,95170,1210,Auto,30736,20134,55100,20188,1998,111,1535,MPV,AVAIL,MAZDA
Volkswagen Golf GTI 5DR (COE till 12/2030),98800,12830,12/27/2010,2010,84000,1552,Auto,31333,34263,40714,34263,1984,155,1339,Sports Car,AVAIL,VOLKSWAGEN
Mitsubishi Fuso Canter FEB21,67043,13325,6/27/2018,2018,31777,874,Manual,14518,35480,32001,1774,2998,93,2240,Truck,SOLD,MITSUBISHI
Mercedes-Benz A-Class Saloon A200 Sport,135800,17510,3/9/2020,2019,58000,586,Auto,45151,27182,32801,30055,1332,120,1385,Luxury Sedan,AVAIL,MERCEDES-BENZ
BMW 3 Series 328i (COE till 09/2031),113564,16841,3/2/2012,2011,85285,1452,Auto,51152,43544,58124,43544,1997,180,1455,Luxury Sedan,SOLD,BMW
BMW X5 xDrive35i 7-Seater Sunroof,141907,27007,6/29/2015,2015,88134,2362,Auto,83970,73578,75801,104441,2979,225,2030,SUV,SOLD,BMW
Suzuki Swift 1.3M XG (COE till 03/2029),72777,11810,5/28/2009,2008,53441,818,Manual,22987,11841,25525,11841,1328,67,1000,Hatchback,SOLD,SUZUKI
Volkswagen Golf 1.4A TSI,31985,13479,5/28/2014,2014,104329,624,Auto,15993,20925,65689,6295,1395,90,1249,Hatchback,SOLD,VOLKSWAGEN
Toyota Harrier 2.4A (COE till 11/2027),62000,13440,11/27/2007,2007,280000,2457,Auto,23132,29556,50168,32512,2362,118,1600,SUV,AVAIL,TOYOTA
Audi A5 Cabriolet Mild Hybrid 2.0A TFSI S-tronic Advanced,237804,24701,12/14/2020,2020,24348,1194,Auto,88101,54521,45012,70138,1984,140,1730,Sports Car,SOLD,AUDI
Toyota Wish 1.8A (COE till 10/2023),8800,16300,1/16/2009,2008,156971,1458,Auto,1733,18803,16140,18803,1794,97,1310,MPV,AVAIL,TOYOTA
Mercedes-Benz A-Class A180 Style,83888,16540,10/9/2017,2017,81000,740,Auto,32934,23295,42900,19613,1595,90,1395,Hatchback,AVAIL,MERCEDES-BENZ
Mercedes-Benz A-Class Saloon A250 AMG Line,180800,23560,12/6/2019,2019,45000,1202,Auto,63020,40438,40009,48614,1991,165,1375,Luxury Sedan,AVAIL,MERCEDES-BENZ
Volkswagen Golf 1.4A TSI Comfortline,86800,13170,1/31/2019,2018,91000,624,Auto,30193,19904,26170,19904,1395,92,1270,Hatchback,SOLD,VOLKSWAGEN
BMW M135i 3DR (New 10-yr COE),150800,15070,6/25/2013,2013,118000,2362,Auto,50687,38341,49237,45678,2979,235,1440,Sports Car,AVAIL,BMW
Volvo XC90 T5 Momentum,204157,25101,4/28/2016,2016,40022,1176,Auto,84891,56801,47000,74242,1969,187,2053,SUV,AVAIL,VOLVO
Honda Fit 1.3A G F-Package,79800,12710,5/15/2019,2019,48359,578,Auto,23988,15085,33199,5085,1317,73,1030,Hatchback,AVAIL,HONDA
Mitsubishi Colt Version-R 1.5M (COE till 11/2027),60800,13210,11/23/2007,2006,150128,999,Manual,19317,17458,41994,19204,1468,113,1110,Sports Car,AVAIL,MITSUBISHI
Mercedes-Benz C-Class C180K (COE till 08/2031),96237,14296,8/12/2011,2011,130259,890,Auto,38200,31019,46358,31019,1597,115,1500,Luxury Sedan,SOLD,MERCEDES-BENZ
Toyota Wish 1.8A X (COE till 08/2024),43795,13014,8/7/2009,2009,125600,1364,Auto,15366,21670,19968,21670,1797,106,1340,MPV,SOLD,TOYOTA
BMW X4 xDrive20i Sunroof,142366,23772,6/28/2017,2017,88362,1210,Auto,61007,42267,52000,51174,1997,135,1735,SUV,SOLD,BMW
Subaru XV 2.0i-S EyeSight,84602,14004,12/28/2018,2018,64173,1208,Auto,26425,13321,31001,13321,1995,115,1489,SUV,SOLD,SUBARU
MINI One 1.2A,70800,15680,5/17/2017,2017,90421,508,Auto,30549,22550,51600,13570,1198,75,1175,Hatchback,AVAIL,MINI
Ford Focus ST 2.0M Sunroof,70867,18383,6/26/2014,2013,79744,1212,Manual,37605,24612,65301,26457,1999,184,1437,Sports Car,SOLD,FORD
Volkswagen Golf 1.4A TSI R-Line Highline Sunroof,124800,14140,2/22/2021,2020,24671,624,Auto,52806,25345,41001,27483,1395,92,1270,Hatchback,AVAIL,VOLKSWAGEN
Porsche 911 Carrera S Coupe 3.0A PDK,408800,79280,1/19/2017,2016,35000,2364,Auto,163900,138650,54901,221570,2981,309,1460,Sports Car,AVAIL,PORSCHE
Mercedes-Benz GLA-Class GLA200 AMG Line Premium,158596,22462,2/25/2021,2020,38639,586,Auto,63322,41066,46002,49493,1332,120,1485,SUV,SOLD,MERCEDES-BENZ
Mercedes-Benz E-Class E200 Exclusive,229800,24840,2/1/2021,2020,16499,1202,Auto,92327,55654,49001,72178,1991,145,1685,Luxury Sedan,AVAIL,MERCEDES-BENZ
Mazda 5 2.0A Sunroof (COE till 05/2028),59800,11720,5/23/2008,2008,168000,1818,Auto,19738,21274,38712,21274,1999,107,1527,MPV,AVAIL,MAZDA
Mitsubishi Evolution 10 GSR (COE till 05/2028),125763,21409,11/28/2008,2008,133862,1815,Auto,24971,33346,38712,33346,1998,206,1520,Sports Car,SOLD,MITSUBISHI
Honda Freed Hybrid 1.5A G Honda Sensing,106322,16227,7/28/2020,2020,58201,682,Auto,37372,29003,35001,22605,1496,101,1430,MPV,SOLD,HONDA
BMW 4 Series 428i Coupe M-Sport Sunroof (New 10-yr COE),158879,18969,8/18/2014,2013,79471,1210,Auto,59386,49873,63344,56823,1997,180,1470,Sports Car,SOLD,BMW
BMW 2 Series 216d Gran Tourer,67888,17520,6/13/2016,2016,115972,1082,Auto,31485,30861,47889,25206,1496,85,1480,MPV,AVAIL,BMW
Kia Stonic 1.0T EX,77000,12200,4/17/2019,2019,61000,392,Auto,21086,17563,25689,7563,998,89,1185,SUV,AVAIL,KIA
Toyota Estima 2.4A Aeras (COE till 11/2029),88800,13400,12/1/2009,2009,134800,2293,Auto,25922,35204,39129,35204,2362,125,1770,MPV,AVAIL,TOYOTA
Toyota Hiace 2.8A DX,118999,13010,6/8/2022,2021,29285,864,Auto,50208,32989,54901,1650,2754,99,1800,Van,AVAIL,TOYOTA
Kia Stinger 2.0A Sunroof,168800,19910,10/15/2020,2020,55000,1210,Auto,59980,33576,40989,39007,1998,182,1642,Luxury Sedan,AVAIL,KIA
BMW 5 Series 528i (COE till 02/2032),95173,23318,1/30/2013,2012,94319,1331,Auto,51563,45496,80583,40496,1997,180,1695,Luxury Sedan,SOLD,BMW
Ssangyong Tivoli Diesel 1.6A,52800,14070,4/25/2016,2016,65000,1182,Auto,26642,20387,44001,20542,1597,85,1453,SUV,AVAIL,SSANGYONG
Audi A4 2.0A TFSI S-tronic,115800,16600,1/31/2019,2018,64000,1194,Auto,49115,33742,33989,39239,1984,140,1480,Luxury Sedan,AVAIL,AUDI
Maserati Ghibli 3.0A,278000,35030,8/20/2019,2018,17614,2362,Auto,108930,77467,40512,111441,2979,257,1850,Luxury Sedan,AVAIL,MASERATI
Chrysler Valiant Charger (COE till 03/2032),139999,15630,3/30/2022,1972,22282,280,Auto,20374,5944,8347,5944,3682,142,1355,Sports Car,AVAIL,CHRYSLER
Hyundai Avante 1.6A (COE till 12/2023),13104,12397,12/27/2008,2008,161964,1107,Auto,3189,11726,13786,11726,1591,90,1264,Mid-Sized Sedan,SOLD,HYUNDAI
Mercedes-Benz GLC-Class GLC250 Coupe AMG Line 4MATIC Night Edition,188755,26227,9/7/2018,2018,52825,1202,Auto,67162,50591,34381,63064,1991,155,1785,SUV,SOLD,MERCEDES-BENZ
Honda N-Van Turbo Style Fun Honda Sensing,73508,9608,3/23/2022,2022,74954,535,Auto,20028,18658,25822,933,658,75,920,Van,SOLD,HONDA
Audi S5 Sportback 3.0A TFSI Quattro (COE till 07/2030),109888,15240,7/2/2010,2010,156555,3094,Auto,24197,63781,33568,63781,2995,245,1755,Sports Car,AVAIL,AUDI
BMW 3 Series 316i,39888,20640,8/15/2014,2014,90180,742,Auto,22813,30655,68689,24917,1598,100,1405,Luxury Sedan,AVAIL,BMW
BMW 2 Series 216d Gran Tourer Luxury,76800,16890,1/25/2017,2016,89551,1082,Auto,36144,31478,50889,26070,1496,85,1480,MPV,AVAIL,BMW
Mercedes-Benz SL-Class SL350 (COE till 12/2029),110800,16560,12/18/2009,2008,110000,4430,Auto,26227,61594,39313,61594,3498,232,1825,Sports Car,AVAIL,MERCEDES-BENZ
Nissan Fairlady 370Z Roadster (COE till 10/2030),138800,18400,11/13/2010,2010,127000,4516,Auto,28824,55336,38216,55336,3696,245,1565,Sports Car,AVAIL,NISSAN
Mercedes-Benz AMG GT Roadster Premium,528800,56690,4/5/2021,2018,25988,3922,Auto,177722,117643,45001,183758,3982,350,1680,Sports Car,AVAIL,MERCEDES-BENZ
Porsche Macan S 3.0A PDK (New 10-yr COE),240800,24060,7/8/2014,2014,105000,2382,Auto,79834,73470,66123,104246,2997,250,1940,SUV,AVAIL,PORSCHE
Lexus IS Hybrid IS300h Executive,153000,18880,2/28/2020,2019,36000,1792,Auto,56161,46137,30890,46592,2494,164,1635,Luxury Sedan,AVAIL,LEXUS
Audi A3 Sedan 1.0A TFSI S-tronic,78800,16320,8/16/2017,2017,82000,392,Auto,29907,24469,42801,16257,999,85,1280,Luxury Sedan,AVAIL,AUDI
Hyundai Avante 1.6A GLS,81800,12080,7/16/2019,2019,31800,738,Auto,27296,12584,28589,12584,1591,94,1345,Mid-Sized Sedan,AVAIL,HYUNDAI
Mitsubishi Eclipse Cross 1.5A,112097,14818,8/7/2019,2018,40560,684,Auto,46736,24520,39406,26328,1499,120,1490,SUV,SOLD,MITSUBISHI
Honda Vezel Hybrid 1.5A X,99500,14350,7/2/2019,2017,54360,682,Auto,37812,27639,35906,20695,1496,112,1280,SUV,AVAIL,HONDA
Honda Vezel 1.5A X,68817,15434,8/11/2017,2016,86164,682,Auto,28075,21708,46778,12392,1496,96,1190,SUV,SOLD,HONDA
BMW 2 Series 216i Gran Tourer,103013,15331,7/30/2018,2018,89745,684,Auto,39456,30479,31001,34671,1499,75,1480,MPV,SOLD,BMW
Suzuki Swift Sport 1.6A (COE till 11/2027),73575,11625,1/10/2008,2007,87609,1104,Auto,27443,12884,41994,14173,1586,92,1100,Hatchback,SOLD,SUZUKI
Mitsubishi Evolution 10 GSR (COE till 11/2028),136000,24290,11/21/2008,2007,225000,1815,Manual,17979,31665,32121,31665,1998,206,1520,Sports Car,AVAIL,MITSUBISHI
Kia Sorento Diesel 2.2A CRDi (OPC),70800,15710,9/28/2016,2016,81000,1626,Auto,34848,29426,38501,33197,2199,147,2039,SUV,AVAIL,KIA
Toyota Vios 1.5A J (COE till 04/2024),11596,12675,6/8/2009,2009,160692,958,Auto,2546,12047,13088,12047,1497,80,1095,Mid-Sized Sedan,SOLD,TOYOTA
MINI Electric,188900,19970,8/17/2022,2022,6000,1707,Auto,103439,41221,107001,4710,1597,135,1365,Sports Car,AVAIL,MINI
Citroen Berlingo L2 1.6A BlueHDi,42800,8750,3/8/2018,2017,91578,633,Auto,18732,21245,38303,1063,1560,87,1460,Van,AVAIL,CITROEN
Mercedes-Benz E-Class E250 Avantgarde,180800,25100,12/10/2018,2018,88000,1202,Auto,76611,58787,32302,77817,1991,155,1615,Luxury Sedan,AVAIL,MERCEDES-BENZ
Toyota Vios 1.5A G,30875,15668,5/28/2014,2013,113445,684,Auto,15976,14498,65689,9498,1497,80,1060,Mid-Sized Sedan,SOLD,TOYOTA
Hyundai Sonata 2.0A GLS,55087,15545,6/15/2016,2016,96082,1212,Auto,28598,19237,56000,19237,1999,113,1460,Luxury Sedan,SOLD,HYUNDAI
Nissan Qashqai 2.0A Premium Moonroof,60800,14400,10/31/2016,2016,97466,1210,Auto,32727,19653,56410,19653,1997,106,1379,SUV,AVAIL,NISSAN
Mercedes-Benz E-Class E200 Exclusive,235800,25240,3/16/2021,2021,16000,1202,Auto,93735,55625,50100,72125,1991,145,1685,Luxury Sedan,AVAIL,MERCEDES-BENZ
Audi Q3 1.4A TFSI S-tronic S-Line,141800,18970,10/29/2019,2019,50200,624,Auto,50889,31154,37000,35616,1395,110,1545,SUV,AVAIL,AUDI
