model,price,depreciation,registration_date,reg_age,manufactured_year,manufactured_age,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,types,status,posted_date,updated_date,maker
Volkswagen Jetta GP 1.4A TSI,58800,13610,20-12-16,7.00,2015,8.00,92000,620,Auto,29034,17516,48000,17516,1390,90,1417,Mid-Sized Sedan,AVAIL,13-04-23,13-04-23,VOLKSWAGEN
Toyota Alphard Hybrid 2.5A SR C-Package,327988,29420,31-03-23,0.00,2023,0.00,68,1336,Auto,168135,51539,116201,69925,2493,145,1640,MPV,AVAIL,07-04-23,12-04-23,TOYOTA
Porsche Macan Diesel S 3.0A PDK,186800,33230,01-06-17,6.00,2017,6.00,85000,3336,Auto,92344,70868,55000,99563,2967,190,1955,SUV,SOLD,02-04-23,15-04-23,PORSCHE
Toyota Vellfire 2.5A Z Moonroof,166888,30820,07-12-17,6.00,2017,6.00,74800,1792,Auto,55681,39761,48109,47666,2493,134,2000,MPV,AVAIL,24-03-23,11-04-23,TOYOTA
Mercedes-Benz E-Class E200,156526,22714,26-08-15,8.00,2015,8.00,73277,1202,Auto,63736,47421,69001,58390,1991,135,1655,Luxury Sedan,SOLD,24-03-23,30-03-23,MERCEDES-BENZ
Honda Civic Hybrid 1.5A (New 5-yr COE),58800,11750,17-05-13,10.00,2012,11.00,99000,684,Auto,26210,24214,46440,10900,1497,82,1280,Mid-Sized Sedan,AVAIL,14-04-23,14-04-23,HONDA
Honda Vezel 1.5A X,80157,13057,11-10-19,4.00,2019,4.00,105675,682,Auto,27479,23805,34001,15327,1496,96,1190,SUV,SOLD,10-04-23,11-04-23,HONDA
Porsche Macan 2.0A PDK,360000,33450,21-10-22,1.00,2022,1.00,3900,1194,Auto,152623,61799,113299,83239,1984,195,1920,SUV,AVAIL,10-04-23,11-04-23,PORSCHE
Toyota Vellfire 3.5A Z G-Edition Moonroof,243800,38650,21-09-18,5.00,2018,5.00,43000,3100,Auto,68261,53119,32311,67615,3456,221,2110,MPV,AVAIL,14-04-23,14-04-23,TOYOTA
Saab 9-3 2.0T Linear (COE till 03/2029),59900,10050,17-06-09,14.00,2007,16.00,147200,1694,Auto,19666,31502,33018,31502,1998,110,1460,Luxury Sedan,AVAIL,06-04-23,13-04-23,SAAB
Subaru Forester 2.0A XT Sunroof,76800,17230,24-03-17,6.00,2016,7.00,104017,1210,Auto,32666,18017,53300,18017,1998,177,1682,SUV,AVAIL,11-04-23,17-04-23,SUBARU
Mitsubishi Outlander 2.0A,115800,17120,21-06-19,4.00,2018,5.00,46292,1210,Auto,41247,19919,42564,19919,1998,110,1480,SUV,AVAIL,13-04-23,17-04-23,MITSUBISHI
Mercedes-Benz SLK-Class SLK200 (COE till 10/2031),128000,14980,08-11-11,12.00,2011,12.00,120000,1169,Auto,51755,54305,60586,54305,1796,135,1470,Sports Car,AVAIL,28-03-23,28-03-23,MERCEDES-BENZ
BMW Z4 sDrive23i (COE till 02/2032),130888,14750,30-03-12,11.00,2011,12.00,83000,1976,Auto,71509,44174,80583,44174,2497,150,1430,Sports Car,AVAIL,04-04-23,11-04-23,BMW
Honda Civic 1.5A VTEC Turbo,144888,14930,18-01-22,1.00,2021,2.00,3387,684,Auto,71574,25832,57599,28165,1498,95,1284,Mid-Sized Sedan,AVAIL,13-04-23,13-04-23,HONDA
Mercedes-Benz CLS-Class CLS350 Coupe Mild Hybrid Sunroof,248649,30485,04-12-19,4.00,2019,4.00,45769,1202,Auto,117899,83654,40009,122578,1991,230,1765,Luxury Sedan,SOLD,09-04-23,14-04-23,MERCEDES-BENZ
BMW 3 Series 328i Gran Turismo Sunroof,94800,20410,21-06-16,7.00,2013,10.00,40000,1210,Auto,56405,48491,55100,59888,1997,180,1670,Luxury Sedan,AVAIL,06-04-23,06-04-23,BMW
Toyota Sienta 1.5A X (COE till 06/2027),58800,13980,20-06-08,15.00,2008,15.00,106867,1023,Auto,21276,15324,50625,15324,1496,81,1210,MPV,AVAIL,30-03-23,30-03-23,TOYOTA
Mercedes-Benz C-Class C180,33000,24460,24-01-14,9.00,2013,10.00,104080,740,Auto,19844,29525,74002,28335,1595,115,1485,Luxury Sedan,AVAIL,03-04-23,04-04-23,MERCEDES-BENZ
Honda Jazz 1.5A RS,57316,13837,07-06-17,6.00,2016,7.00,84953,684,Auto,27198,17910,50789,12910,1498,96,1046,Hatchback,SOLD,25-03-23,15-04-23,HONDA
Audi A4 1.8A TFSI MU,32800,18400,18-06-14,9.00,2014,9.00,91000,976,Auto,20276,28964,67304,22550,1798,125,1545,Luxury Sedan,AVAIL,17-04-23,17-04-23,AUDI
Mercedes-Benz E-Class E200K (COE till 01/2027),45800,12320,04-01-07,16.00,2006,17.00,118375,1461,Auto,19564,52568,52660,57825,1796,135,1540,Luxury Sedan,AVAIL,31-03-23,14-04-23,MERCEDES-BENZ
Volkswagen Polo 1.2A TSI (COE till 08/2030),81818,12508,06-10-10,13.00,2010,13.00,68832,660,Auto,31830,17055,32190,17055,1197,77,1126,Hatchback,SOLD,31-03-23,04-04-23,VOLKSWAGEN
BMW X5 xDrive30d 7-Seater Sunroof (New 5-yr COE),160000,31960,24-01-14,9.00,2013,10.00,41000,3376,Auto,93131,82381,47281,120286,2993,190,2070,SUV,AVAIL,01-04-23,11-04-23,BMW
Subaru XV 1.6i-S,54812,12954,30-09-16,7.00,2016,7.00,95137,744,Auto,29396,16678,51506,16678,1600,84,1480,SUV,SOLD,27-03-23,03-04-23,SUBARU
Honda Civic 1.5A VTEC Turbo Sunroof,105847,15128,21-05-18,5.00,2018,5.00,59636,684,Auto,43302,25692,37330,27969,1498,127,1324,Mid-Sized Sedan,SOLD,13-04-23,16-04-23,HONDA
Suzuki Swift Sport 1.6M (COE till 03/2030),75000,10790,30-03-10,13.00,2009,14.00,108000,957,Manual,23081,14551,33207,14551,1586,92,1090,Hatchback,AVAIL,07-04-23,14-04-23,SUZUKI
BMW X4 xDrive28i Sunroof,112800,22910,01-11-16,7.00,2016,7.00,121000,1210,Auto,59895,50701,54200,63262,1997,180,1770,SUV,AVAIL,15-04-23,15-04-23,BMW
Jaguar XF 2.0A Prestige,245800,24630,21-03-22,1.00,2021,2.00,6500,1210,Auto,110678,42558,98890,51582,1997,184,1782,Luxury Sedan,AVAIL,03-04-23,04-04-23,JAGUAR
Nissan X-Trail 2.0A 7-Seater,102444,15734,17-08-16,7.00,2016,7.00,71646,1210,Auto,44940,23227,56000,24518,1997,106,1626,SUV,SOLD,05-04-23,15-04-23,NISSAN
Honda Shuttle 1.5A G LED,71800,13690,23-03-18,5.00,2017,6.00,48000,682,Auto,24716,18522,38000,8522,1496,97,1220,Stationwagon,AVAIL,13-04-23,15-04-23,HONDA
Hyundai Elantra 1.6A Elite,46800,13830,16-02-16,7.00,2015,8.00,93000,738,Auto,22316,15146,46651,15146,1591,97,1292,Mid-Sized Sedan,AVAIL,14-04-23,14-04-23,HYUNDAI
Honda Fit 1.3A G (COE till 05/2024),22333,11346,07-08-09,14.00,2009,14.00,162744,826,Auto,3190,14146,13943,14146,1339,73,1010,Hatchback,SOLD,29-03-23,14-04-23,HONDA
Honda N-Box Slash GL,128800,14190,10-03-22,1.00,2021,2.00,38,326,Auto,55271,17727,57898,5000,658,43,900,Hatchback,AVAIL,11-04-23,17-04-23,HONDA
Mitsubishi Lancer EX 1.6A,68166,12001,11-01-17,6.00,2016,7.00,89171,738,Auto,27231,13067,52668,13067,1590,86,1284,Mid-Sized Sedan,AVAIL,06-04-23,13-04-23,MITSUBISHI
Mercedes-Benz E-Class E200 CGI Coupe (COE till 06/2030),94800,13220,18-06-10,13.00,2010,13.00,120352,1266,Auto,24077,56630,33568,56630,1796,135,1560,Sports Car,AVAIL,16-04-23,17-04-23,MERCEDES-BENZ
Fiat Bravo 1.4M T-Jet Panoramic Roof (COE till 03/2029),84413,12960,03-08-10,13.00,2010,13.00,91135,790,Manual,27782,19749,25525,19749,1368,110,1275,Hatchback,SOLD,02-04-23,06-04-23,FIAT
Audi Q5 2.0A TFSI Quattro (COE till 01/2030),141800,20950,21-01-10,13.00,2009,14.00,126614,1672,Auto,26694,45636,39463,45636,1984,155,1740,SUV,AVAIL,30-03-23,15-04-23,AUDI
Mercedes-Benz E-Class E200 Coupe,166800,26800,20-12-17,6.00,2017,6.00,88000,1202,Auto,81393,61607,49996,82893,1991,135,1655,Sports Car,AVAIL,01-04-23,15-04-23,MERCEDES-BENZ
Mercedes-Benz E-Class E53 Coupe Mild Hybrid AMG 4MATIC,292800,35370,27-06-19,4.00,2018,5.00,30000,2384,Auto,140084,97304,52410,147148,2999,336,1970,Sports Car,AVAIL,17-04-23,17-04-23,MERCEDES-BENZ
Lexus RX300 Executive,174147,23882,13-04-18,5.00,2018,5.00,61315,1210,Auto,70601,51258,37605,64265,1998,175,1890,SUV,SOLD,07-04-23,15-04-23,LEXUS
Mercedes-Benz A-Class A250 AMG Line,141053,22588,18-07-19,4.00,2019,4.00,63138,1202,Auto,55406,39535,39728,47349,1991,165,1455,Hatchback,SOLD,07-04-23,07-04-23,MERCEDES-BENZ
Honda Grace 1.5A LX,108900,12250,11-05-21,2.00,2019,4.00,46808,682,Auto,44186,20140,35990,20196,1496,97,1110,Mid-Sized Sedan,AVAIL,15-04-23,16-04-23,HONDA
Nissan Serena e-POWER Hybrid 1.2A Highway Star Premium,157800,19010,19-01-21,2.00,2020,3.00,41000,802,Auto,53593,31039,49300,20455,1198,100,1758,MPV,AVAIL,09-04-23,09-04-23,NISSAN
Kia Cerato Forte Koup 1.6A SX Sunroof (COE till 12/2024),23800,13920,07-01-10,13.00,2009,14.00,156062,1033,Auto,5458,15631,15988,15631,1591,93,1232,Sports Car,AVAIL,29-03-23,30-03-23,KIA
Honda Civic Type R 2.0M (COE till 05/2028),105800,20640,01-12-08,15.00,2008,15.00,117600,1815,Manual,19844,28333,38712,28333,1998,165,1270,Sports Car,AVAIL,13-04-23,13-04-23,HONDA
Mercedes-Benz CLA-Class CLA180 AMG Line Premium,181500,18570,25-11-21,2.00,2019,4.00,9400,586,Auto,103716,36587,82801,43222,1332,100,1410,Luxury Sedan,AVAIL,15-04-23,15-04-23,MERCEDES-BENZ
Mercedes-Benz C-Class C200 Sunroof,78800,23650,22-10-15,8.00,2015,8.00,88608,1202,Auto,37820,36886,58190,38641,1991,135,1460,Luxury Sedan,AVAIL,14-04-23,14-04-23,MERCEDES-BENZ
Audi A6 1.8A TFSI Ultra,115000,21830,24-07-17,6.00,2016,7.00,115000,976,Auto,51795,40460,49802,43644,1798,140,1645,Luxury Sedan,AVAIL,10-04-23,14-04-23,AUDI
Peugeot 3008 1.2A PureTech EAT8 Active Premium,110711,13919,25-05-21,2.00,2021,2.00,69410,508,Auto,42772,24060,41801,25684,1199,96,1320,SUV,SOLD,10-04-23,11-04-23,PEUGEOT
Mercedes-Benz E-Class E250,154891,18298,08-10-14,9.00,2014,9.00,111378,1202,Auto,39603,49580,64889,56412,1991,155,1680,Luxury Sedan,SOLD,04-04-23,12-04-23,MERCEDES-BENZ
Nissan Qashqai 1.2A DIG-T Premium,56800,15740,16-06-16,7.00,2016,7.00,92000,508,Auto,26074,18974,53694,13974,1197,85,1285,SUV,AVAIL,16-04-23,16-04-23,NISSAN
Honda N-Van Turbo Style Fun Honda Sensing,89888,9030,29-03-23,0.00,2022,1.00,13,723,Auto,64099,18824,64399,942,658,86,920,Van,AVAIL,15-04-23,15-04-23,HONDA
Audi Q5 2.0A TFSI Quattro S-tronic Sport S-Line Panoramic Roof,133800,22530,01-12-17,6.00,2017,6.00,71292,1194,Auto,63699,48010,48109,59214,1984,185,1795,SUV,AVAIL,13-04-23,17-04-23,AUDI
Honda Fit 1.3A GF,83400,13170,22-05-19,4.00,2019,4.00,57000,578,Auto,19891,16202,25000,6202,1317,73,1030,Hatchback,AVAIL,07-04-23,07-04-23,HONDA
Mitsubishi Attrage 1.2A,58736,12098,17-01-18,5.00,2017,6.00,67971,506,Auto,23047,13474,42339,5000,1193,59,940,Mid-Sized Sedan,SOLD,01-04-23,09-04-23,MITSUBISHI
Hyundai Elantra 1.6A GLS S,67695,12634,20-03-18,5.00,2018,5.00,77385,738,Auto,25866,10087,38830,10087,1591,94,1345,Mid-Sized Sedan,AVAIL,27-03-23,11-04-23,HYUNDAI
Kia Picanto 1.1M (COE till 08/2029),44800,7040,27-08-09,14.00,2009,14.00,137000,619,Manual,18665,7497,29328,7497,1086,48,852,Hatchback,AVAIL,15-04-23,16-04-23,KIA
Toyota Corolla Altis 1.6A (COE till 04/2029),58800,9730,07-05-09,14.00,2009,14.00,130136,1039,Auto,15813,17500,26175,17500,1598,80,1195,Mid-Sized Sedan,AVAIL,16-04-23,17-04-23,TOYOTA
Volkswagen Polo GP 1.2A TSI Sunroof,53288,12745,27-06-16,7.00,2016,7.00,73919,508,Auto,22788,17279,47419,7279,1197,66,1139,Hatchback,SOLD,25-03-23,27-03-23,VOLKSWAGEN
Mercedes-Benz GLA-Class GLA200 Urban Sunroof,114800,18890,07-05-18,5.00,2017,6.00,82000,740,Auto,49051,33223,39903,38513,1595,115,1435,SUV,AVAIL,08-04-23,08-04-23,MERCEDES-BENZ
Volkswagen Golf 1.4A TSI EQP Sunroof,27800,17050,31-08-14,9.00,2014,9.00,110000,624,Auto,13686,22710,64600,8794,1395,90,1249,Hatchback,AVAIL,06-04-23,17-04-23,VOLKSWAGEN
Mercedes-Benz A-Class A200 (COE till 11/2031),125800,14580,12-03-13,10.00,2013,10.00,140000,814,Auto,41209,26404,47765,16404,1595,115,1395,Hatchback,AVAIL,13-04-23,13-04-23,MERCEDES-BENZ
Mercedes-Benz C-Class C180K (COE till 12/2031),90888,10430,06-01-12,11.00,2011,12.00,130000,890,Auto,44058,31076,50570,31076,1597,115,1500,Luxury Sedan,AVAIL,14-04-23,14-04-23,MERCEDES-BENZ
Mercedes-Benz A-Class A180,49748,15781,16-11-15,8.00,2015,8.00,113664,740,Auto,26011,22896,57498,19055,1595,90,1395,Hatchback,SOLD,11-04-23,13-04-23,MERCEDES-BENZ
Toyota Camry 2.0A (COE till 10/2029),70800,10890,16-10-09,14.00,2009,14.00,123800,1694,Auto,24371,27271,37502,27271,1998,108,1530,Luxury Sedan,AVAIL,06-04-23,14-04-23,TOYOTA
Audi Q5 2.0A TFSI Quattro S-tronic Sport,149800,21530,20-12-18,5.00,2018,5.00,49500,1194,Auto,58867,45009,31001,55013,1984,185,1795,SUV,AVAIL,15-04-23,15-04-23,AUDI
Nissan NV200 1.5M,64888,9800,28-11-19,4.00,2019,4.00,39688,450,Manual,8822,20703,13333,1036,1461,78,1260,Van,AVAIL,10-04-23,10-04-23,NISSAN
BMW X5 M50d (New 10-yr COE),168800,16870,13-05-13,10.00,2012,11.00,118100,3376,Auto,62446,88573,31542,88573,2993,225,2150,Sports Car,AVAIL,13-04-23,13-04-23,BMW
Nissan Qashqai 1.2A DIG-T,56800,12650,31-03-17,6.00,2017,6.00,63870,508,Auto,29276,18583,54501,13583,1197,85,1285,SUV,AVAIL,14-04-23,14-04-23,NISSAN
BMW 7 Series 740Li Luxury Sunroof,130800,25210,28-01-16,7.00,2015,8.00,135000,2384,Auto,88014,82909,54920,121237,2998,240,1770,Luxury Sedan,AVAIL,03-04-23,04-04-23,BMW
Mercedes-Benz E-Class E250 (COE till 04/2031),99888,12420,29-08-11,12.00,2011,12.00,133000,1169,Auto,38047,52881,47316,52881,1796,150,1650,Luxury Sedan,AVAIL,15-04-23,17-04-23,MERCEDES-BENZ
Audi A8L 3.0A TFSI Quattro,221011,28778,05-04-17,6.00,2014,9.00,71579,2380,Auto,92299,74457,51000,106023,2995,228,1955,Luxury Sedan,SOLD,24-03-23,07-04-23,AUDI
Mazda 3 HB 1.5A Deluxe Sunroof,52888,14420,17-06-16,7.00,2016,7.00,103000,682,Auto,26383,19450,53694,14450,1496,88,1324,Hatchback,AVAIL,12-04-23,12-04-23,MAZDA
Porsche Panamera 3.6A PDK (New 10-yr COE),187777,18760,28-03-13,10.00,2011,12.00,160000,3332,Auto,64322,105906,45614,105906,3605,300,1835,Sports Car,AVAIL,17-04-23,17-04-23,PORSCHE
Maserati GranTurismo Cambiocorsa (COE till 12/2029),149000,22200,29-01-10,13.00,2009,14.00,148000,7042,Auto,26377,120702,39313,120702,4691,323,1880,Sports Car,AVAIL,31-03-23,11-04-23,MASERATI
BMW 2 Series 218i Coupe Sunroof,123595,14464,21-03-17,6.00,2017,6.00,95031,684,Auto,36112,28818,53300,27346,1499,100,1360,Sports Car,SOLD,28-03-23,03-04-23,BMW
McLaren 12C (COE till 06/2032),483800,52520,12-07-12,11.00,2012,11.00,40000,3997,Auto,87501,278169,95025,278169,3798,441,1514,Sports Car,AVAIL,27-03-23,16-04-23,MCLAREN
Mercedes-Benz GLA-Class GLA200 Urban Edition,86000,21340,02-09-16,7.00,2016,7.00,88548,740,Auto,37017,29142,56089,27799,1595,115,1435,SUV,AVAIL,17-04-23,17-04-23,MERCEDES-BENZ
Toyota Fortuner 2.7A (COE till 12/2029),82500,12440,02-12-09,14.00,2009,14.00,250000,2839,Auto,26065,27883,39313,27883,2694,118,1705,SUV,AVAIL,16-04-23,16-04-23,TOYOTA
Mercedes-Benz GLC-Class GLC250 4MATIC,160800,26060,31-05-18,5.00,2018,5.00,60000,1202,Auto,60931,44724,39000,54614,1991,155,1735,SUV,AVAIL,04-04-23,04-04-23,MERCEDES-BENZ
Honda Vezel 1.5A X Honda Sensing,69800,19690,02-08-16,7.00,2016,7.00,68000,682,Auto,23901,19919,53000,9919,1496,96,1190,SUV,AVAIL,15-04-23,16-04-23,HONDA
Mitsubishi Evolution 9 MR GSR (COE till 06/2026),139900,43640,28-09-06,17.00,2006,17.00,120000,1815,Manual,15527,40805,48479,44886,1997,206,1420,Sports Car,AVAIL,29-03-23,13-04-23,MITSUBISHI
Mercedes-Benz S-Class S320L,183800,28620,17-05-17,6.00,2016,7.00,89000,2382,Auto,115356,89948,53001,133907,2996,200,1940,Luxury Sedan,AVAIL,11-04-23,11-04-23,MERCEDES-BENZ
Honda Freed Hybrid 1.5A G 7-Seater Honda Sensing,140800,16530,15-04-21,2.00,2020,3.00,18000,682,Auto,54693,28690,52309,17166,1496,101,1430,MPV,AVAIL,06-04-23,14-04-23,HONDA
Land Rover Discovery Sport 2.0A Si4 SE 7-Seater,119800,22190,31-05-17,6.00,2016,7.00,98226,1212,Auto,61658,46235,53300,56729,1999,177,1841,SUV,AVAIL,08-04-23,16-04-23,LAND-ROVER
Hyundai Avante 1.6A GLS Elite,86800,12660,10-06-19,4.00,2019,4.00,60000,738,Auto,29999,17856,27000,17856,1591,94,1345,Mid-Sized Sedan,AVAIL,16-04-23,16-04-23,HYUNDAI
Mercedes-Benz CLC-Class CLC180K (COE till 11/2028),59800,10760,05-11-08,15.00,2008,15.00,188000,1461,Auto,17838,33165,32121,33165,1796,105,1495,Sports Car,AVAIL,31-03-23,16-04-23,MERCEDES-BENZ
Honda HR-V 1.5A DX,74927,13694,19-11-18,5.00,2018,5.00,146389,682,Auto,26130,19842,28457,19842,1496,96,1191,SUV,SOLD,01-04-23,05-04-23,HONDA
Nissan GTR 3.8A (COE till 09/2028),258888,47440,30-09-08,15.00,2008,15.00,136900,5454,Auto,18216,78029,33377,78029,3799,353,1740,Sports Car,AVAIL,17-04-23,17-04-23,NISSAN
Hyundai Ioniq Electric 38.3kWh Sunroof,149800,16130,22-06-22,1.00,2022,1.00,5000,1502,Auto,67583,40191,70901,3268,1495,100,1575,Hatchback,AVAIL,17-04-23,17-04-23,HYUNDAI
Lamborghini Aventador LP700-4 (COE till 04/2032),798000,88240,03-01-13,10.00,2012,11.00,30000,8642,Auto,80365,453424,88862,453424,6498,515,1690,Sports Car,AVAIL,13-04-23,13-04-23,LAMBORGHINI
Audi Q5 2.0A TFSI Quattro (COE till 05/2024),15800,14200,28-05-09,14.00,2009,14.00,154633,1672,Auto,4390,44757,19782,44757,1984,155,1740,SUV,AVAIL,12-04-23,17-04-23,AUDI
Nissan X-Trail 2.0A Premium 7-Seater Sunroof,71800,15690,20-01-17,6.00,2016,7.00,83256,1210,Auto,36576,23955,53106,25537,1997,106,1626,SUV,AVAIL,16-04-23,16-04-23,NISSAN
Honda Fit Hybrid 1.5A,67888,14200,24-11-17,6.00,2017,6.00,101231,682,Auto,26466,21047,52000,5000,1496,101,1080,Hatchback,AVAIL,05-04-23,06-04-23,HONDA
Mercedes-Benz CLA-Class CLA180 (New 10-yr COE),62309,20077,18-06-14,9.00,2014,9.00,95146,740,Auto,23467,27415,67792,20381,1595,90,1430,Luxury Sedan,SOLD,13-04-23,16-04-23,MERCEDES-BENZ
Toyota Previa 2.4A Aeras Moonroof,131350,18866,19-06-17,6.00,2017,6.00,60917,1638,Auto,52146,34489,55414,40285,2362,125,1775,MPV,SOLD,10-04-23,16-04-23,TOYOTA
Mazda 3 1.5A Deluxe Sunroof,61800,13610,21-04-17,6.00,2017,6.00,79926,682,Auto,30880,19453,51765,14453,1496,88,1331,Mid-Sized Sedan,AVAIL,15-04-23,15-04-23,MAZDA
Honda Civic 1.6A VTi,94123,14826,03-04-18,5.00,2018,5.00,78531,742,Auto,35890,19724,38200,19724,1597,92,1249,Mid-Sized Sedan,SOLD,06-04-23,15-04-23,HONDA
Tesla Model 3 Electric Standard Plus,226988,21770,23-12-22,1.00,2022,1.00,68000,2135,Auto,108151,58311,107201,31960,2094,208,1760,Luxury Sedan,AVAIL,16-04-23,16-04-23,TESLA
Audi A3 Sedan 1.4A TFSI Ambiente,39800,14650,23-06-15,8.00,2015,8.00,120195,624,Auto,23774,27574,66000,15604,1395,92,1310,Luxury Sedan,AVAIL,17-04-23,17-04-23,AUDI
Lexus ES Hybrid ES300h Luxury Sunroof,248800,23620,31-03-22,1.00,2021,2.00,12000,1784,Auto,144376,56896,98889,74413,2487,160,1680,Luxury Sedan,AVAIL,27-03-23,09-04-23,LEXUS
BMW 5 Series 530i,178888,24230,30-01-19,4.00,2018,5.00,53000,1210,Auto,75807,58415,31001,77147,1998,185,1615,Luxury Sedan,AVAIL,01-04-23,01-04-23,BMW
Toyota Wish 1.8A (COE till 07/2023),55300,13281,30-07-08,15.00,2008,15.00,140603,1458,Auto,9099,18803,18444,18803,1794,97,1310,MPV,SOLD,01-04-23,05-04-23,TOYOTA
Audi Q5 Mild Hybrid 2.0A TFSI Quattro S-tronic,236800,23970,01-03-22,1.00,2021,2.00,20000,1194,Auto,119109,40030,93590,48042,1984,183,1825,SUV,AVAIL,13-04-23,13-04-23,AUDI
Honda Civic 1.5A VTEC Turbo Sunroof,76000,16980,05-01-17,6.00,2016,7.00,130000,684,Auto,33875,27624,46229,25674,1498,127,1324,Mid-Sized Sedan,AVAIL,06-04-23,06-04-23,HONDA
Lexus GS300 (COE till 12/2028),116283,15779,09-01-09,14.00,2008,15.00,158560,3570,Auto,20579,52219,31553,52219,2995,183,1660,Luxury Sedan,SOLD,12-04-23,14-04-23,LEXUS
Honda Airwave 1.5A M (COE till 03/2024),11800,13050,13-03-09,14.00,2008,15.00,156157,1023,Auto,2308,16247,12763,16247,1496,81,1160,Stationwagon,AVAIL,15-04-23,15-04-23,HONDA
BMW 3 Series 318i Sport,88800,15980,19-10-17,6.00,2017,6.00,86500,684,Auto,45514,33232,49012,33525,1499,100,1425,Luxury Sedan,AVAIL,09-04-23,09-04-23,BMW
Land Rover Range Rover Sport 3.0A Supercharged Autobiography,153000,96180,20-01-14,9.00,2013,10.00,80000,2380,Auto,86677,104450,87910,160010,2995,250,2214,SUV,AVAIL,13-04-23,14-04-23,LAND-ROVER
Honda Fit Hybrid 1.5A,85800,13280,20-06-19,4.00,2018,5.00,33800,682,Auto,27803,17493,35906,7493,1496,101,1080,Hatchback,AVAIL,14-04-23,14-04-23,HONDA
Toyota Alphard 2.5A S,94688,32290,18-08-15,8.00,2015,8.00,120000,1792,Auto,40589,33192,75002,38469,2493,134,1980,MPV,AVAIL,09-04-23,14-04-23,TOYOTA
Kia Stinger 3.3A GT Sunroof,169800,22470,06-09-19,4.00,2019,4.00,45000,2920,Auto,69918,43090,48010,52326,3342,272,1780,Luxury Sedan,AVAIL,04-04-23,04-04-23,KIA
Honda Crossroad 1.8A L (COE till 11/2023),12800,22680,10-11-08,15.00,2008,15.00,176614,1467,Auto,1804,18684,16061,18684,1799,103,1410,SUV,AVAIL,05-04-23,05-04-23,HONDA
Volkswagen Golf 1.4A TSI EQP Sunroof,48000,17050,15-09-15,8.00,2015,8.00,51000,624,Auto,21983,22642,57089,13699,1395,90,1249,Hatchback,AVAIL,11-04-23,12-04-23,VOLKSWAGEN
Honda Shuttle Hybrid 1.5A,93233,11379,29-01-19,4.00,2018,5.00,102071,682,Auto,29834,21564,31809,12190,1496,101,1190,Stationwagon,SOLD,09-04-23,17-04-23,HONDA
Toyota Vellfire 3.5A Z G-Edition Moonroof,63800,27180,15-08-14,9.00,2014,9.00,59000,3100,Auto,39058,45264,64889,55370,3456,206,2030,MPV,AVAIL,24-03-23,16-04-23,TOYOTA
Toyota Hilux Double-Cab (COE till 02/2027),70219,17636,23-03-07,16.00,2006,17.00,103456,1367,Manual,17478,25950,21642,28545,2982,109,1760,Truck,SOLD,27-03-23,12-04-23,TOYOTA
Nissan NV200 1.6A DX,58800,9210,03-09-19,4.00,2019,4.00,49525,644,Auto,16279,18010,25501,901,1597,70,1220,Van,AVAIL,17-04-23,17-04-23,NISSAN
Peugeot 5008 1.2A Puretech EAT8 Active Premium,147831,18980,11-03-21,2.00,2020,3.00,50457,508,Auto,49958,28507,41996,31910,1199,96,1430,MPV,SOLD,12-04-23,15-04-23,PEUGEOT
Volkswagen Golf 1.4A TSI Comfortline,96408,14674,31-01-20,3.00,2019,4.00,66360,624,Auto,32717,19707,35010,19707,1395,92,1270,Hatchback,SOLD,25-03-23,07-04-23,VOLKSWAGEN
BMW 4 Series 430i Gran Coupe M-Sport Pro Sunroof,276800,27050,30-11-21,2.00,2021,2.00,13300,1210,Auto,133901,63887,79601,86997,1998,180,1645,Luxury Sedan,AVAIL,16-04-23,16-04-23,BMW
BMW M4 Cabriolet Competition Package,432000,41001,04-03-22,1.00,2019,4.00,29111,2362,Auto,157532,66026,93102,90847,2979,331,1890,Sports Car,AVAIL,03-04-23,11-04-23,BMW
Mercedes-Benz GLC-Class GLC300 Mild Hybrid AMG Line 4MATIC Premium,218800,25690,17-03-20,3.00,2019,4.00,65000,1202,Auto,86561,61235,36000,82223,1991,200,1805,SUV,AVAIL,28-03-23,16-04-23,MERCEDES-BENZ
Lexus IS Hybrid IS300h,50000,27240,08-04-14,9.00,2013,10.00,138000,1792,Auto,30765,49907,77003,46870,2494,164,1635,Luxury Sedan,AVAIL,14-04-23,14-04-23,LEXUS
Honda Fit 1.3A G (COE till 02/2024),10300,11930,27-02-09,14.00,2008,15.00,135500,885,Auto,2220,13110,12864,13110,1339,73,1010,Hatchback,AVAIL,13-04-23,17-04-23,HONDA
Volkswagen T-Cross 1.0A TSI R-Line,127988,13760,29-09-21,2.00,2020,3.00,31500,392,Auto,58075,22373,48000,23323,999,85,1369,SUV,AVAIL,13-04-23,13-04-23,VOLKSWAGEN
Nissan NV350 2.5M,53800,9970,07-09-18,5.00,2017,6.00,75320,490,Manual,13639,25062,25283,1254,2488,84,1780,Van,AVAIL,14-04-23,14-04-23,NISSAN
Audi A3 Sportback 1.0A TFSI S-tronic,98800,14170,24-06-19,4.00,2019,4.00,73000,392,Auto,33342,21554,26999,22176,999,85,1275,Hatchback,AVAIL,14-04-23,14-04-23,AUDI
