model,price,depreciation,registration_date,reg_age,manufactured_year,manufactured_age,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,types,status,posted_date,updated_date,maker
BMW 5 Series 520i,136800,21130,04-05-18,5.00,2018,5.00,90888,1210,Auto,64016,48753,38389,60255,1998,135,1530,Luxury Sedan,AVAIL,11-04-23,17-04-23,BMW
Mercedes-Benz C-Class C200 Exclusive,97800,24750,12-05-16,7.00,2016,7.00,98000,1202,Auto,45261,40493,55001,43691,1991,135,1465,Luxury Sedan,AVAIL,05-04-23,17-04-23,MERCEDES-BENZ
Lexus ES250,53800,21870,27-10-14,9.00,2014,9.00,110000,1792,Auto,33541,34805,73010,40727,2494,135,1615,Luxury Sedan,AVAIL,29-03-23,29-03-23,LEXUS
Volkswagen Passat 1.8A TFSI,99800,15440,26-10-18,5.00,2018,5.00,41600,976,Auto,39313,26305,32001,28827,1798,132,1480,Luxury Sedan,AVAIL,13-04-23,13-04-23,VOLKSWAGEN
MINI John Cooper Works Countryman 2.0A ALL4 LED,215888,24780,28-08-20,3.00,2020,3.00,18000,1210,Auto,72714,52567,30890,66621,1998,225,1600,Sports Car,AVAIL,09-04-23,14-04-23,MINI
Chevrolet Orlando 1.4A Turbo,57388,14070,18-10-16,7.00,2016,7.00,128397,604,Auto,29058,16195,54200,16195,1362,103,1650,MPV,AVAIL,10-04-23,10-04-23,CHEVROLET
Nissan Note 1.2A,47800,12660,14-11-16,7.00,2016,7.00,80000,508,Auto,22333,13435,53334,5000,1198,58,1044,Hatchback,AVAIL,15-04-23,16-04-23,NISSAN
Porsche 911 Carrera S Coupe 3.0A PDK,588800,64380,28-07-20,3.00,2020,3.00,40000,2364,Auto,205467,148873,35001,239972,2981,331,1590,Sports Car,AVAIL,14-04-23,14-04-23,PORSCHE
Volkswagen Beetle 1.2A TSI (New 5-yr COE),60800,12150,20-08-13,10.00,2013,10.00,77000,508,Auto,27539,19458,44214,9458,1197,77,1222,Hatchback,AVAIL,07-04-23,11-04-23,VOLKSWAGEN
Hyundai Avante 1.6A Elite Sunroof,132188,13750,11-08-22,1.00,2021,2.00,18900,742,Auto,80629,22183,80000,8057,1598,91,1280,Mid-Sized Sedan,AVAIL,17-04-23,17-04-23,HYUNDAI
Mitsubishi Lancer EX 1.5A Elegance (COE till 11/2024),19800,12610,11-11-09,14.00,2009,14.00,127000,958,Auto,5089,17804,16208,17804,1499,80,1313,Mid-Sized Sedan,AVAIL,15-04-23,15-04-23,MITSUBISHI
Honda Shuttle 1.5A G,91800,13190,18-11-19,4.00,2019,4.00,49000,682,Auto,27089,19762,30000,9762,1496,95,1130,Stationwagon,AVAIL,25-03-23,04-04-23,HONDA
Mercedes-Benz E-Class E200 CGI (COE till 09/2030),87800,11770,29-10-10,13.00,2010,13.00,140000,1266,Auto,26062,53923,34935,53923,1796,135,1615,Luxury Sedan,AVAIL,13-04-23,13-04-23,MERCEDES-BENZ
Mercedes-Benz GLC-Class GLC200,172304,21431,01-11-19,4.00,2019,4.00,37258,1202,Auto,63158,42557,36001,51580,1991,135,1705,SUV,SOLD,29-03-23,04-04-23,MERCEDES-BENZ
Toyota Camry 2.5A,42300,19100,11-09-14,9.00,2014,9.00,96954,1792,Auto,27292,27861,72990,31006,2494,133,1470,Luxury Sedan,AVAIL,14-04-23,14-04-23,TOYOTA
Honda Vezel 1.5A S Honda Sensing,48828,15150,18-12-15,8.00,2015,8.00,78324,682,Auto,25227,21214,56989,16700,1496,96,1210,SUV,AVAIL,05-04-23,16-04-23,HONDA
BMW 3 Series 330e Plug-in Hybrid Luxury,262800,25180,05-05-22,1.00,2021,2.00,4800,1210,Auto,122936,54244,95801,69640,1998,218,1770,Luxury Sedan,AVAIL,12-04-23,12-04-23,BMW
BMW 2 Series 218i Coupe M-Sport Sunroof,127800,18320,27-02-19,4.00,2018,5.00,51000,684,Auto,49321,34693,32909,40571,1499,100,1365,Sports Car,AVAIL,13-04-23,17-04-23,BMW
Audi A4 Mild Hybrid 2.0A TFSI S-tronic,137712,17881,29-12-20,3.00,2020,3.00,39528,1194,Auto,55822,34789,39000,40705,1984,110,1515,Luxury Sedan,AVAIL,06-04-23,13-04-23,AUDI
Toyota Alphard 2.4A (COE till 01/2029),83800,14460,08-10-09,14.00,2009,14.00,145000,2293,Auto,18166,44006,31335,44006,2362,125,1920,MPV,AVAIL,14-04-23,16-04-23,TOYOTA
Mazda CX-5 2.0A Premium,120800,17050,27-06-19,4.00,2019,4.00,28700,1210,Auto,47288,27343,42002,30281,1998,121,1576,SUV,AVAIL,10-04-23,11-04-23,MAZDA
