model,price,depreciation,registration_date,manufactured_year,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,number_of_owner,types,features,accessories,descriptions,category,status
Honda N-WGN G Turbo,"$89,888","$14,580",28-Dec-2018,2016,"76,509 km (17.8k /yr)",$326 /yr,Auto,"$28,776","$13,575","$32,809","$13,575",658 cc,47.0 kW (63 bhp),840 kg,2,Hatchback,"Features Honda's Kei 0.66L 63bhp 104nm turbocharged engine! CVT auto transmission. Keyless engine push start, hid headlights, auto climate control aircon.","Accessories Pioneer multimedia head unit, reverse parking camera, custom leather seats, factory fitted sport rims, in car dash camera.","Description Well maintained by lady owner! Custom paintwork and leather seats. Only 1 in the market! Great for city driving and parking. Rare N-WGN turbo model. Maintained by smile auto, serviced with motul 300v! Hassle free trade in and flexible financing available. Owner's uploaded photos. Owner's consignment, viewing is strictly upon appointment only.","CategoryPARF Car, Consignment Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
BMW M135i 3DR (New 10-yr COE),"$150,000","$14,990",28-Mar-2013,2012,"81,688 km (8.1k /yr)","$2,362 /yr",Auto,N.A.,"$39,262",N.A.,"$46,967","2,979 cc",235.0 kW (315 bhp),"1,440 kg",5,Sports Car,Features 3.0 litre turbocharged straight 6 engine. 8 speed ZF gearbox View specs of the BMW M135i (2013-2017),Accessories Harmon kardon sound system. Bluetooth connectivity. Gps navi. Drive mode selection.,"Description Well maintained, low mileage, all stock condition with M-Sport exhaust. Currently wrapped in baby pink. Original paintwork under is glacier silver metallic. Too good to export, make an appointment to view now!","CategoryCOE Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Kia Cerato K3 1.6A EX,N.A,N.A,24-Apr-2017,2017,N.A.,$738 /yr,Auto,N.A.,"$11,962","$52,000","$11,962","1,591 cc",95.3 kW (127 bhp),"1,295 kg",2,Mid-Sized Sedan,Features View specs of the Kia Cerato K3 (2013-2018),NA,Description Full Loan Available! We Are Sgcarmart Premium Dealer For 9 Consecutive Year Since 2015! Buy With Confidence! In House Loan Or Bank Loan Available! Fast And Easy Loan Approval! All Our Vehicles Has Undergone A 120 Points Check Before Purchase! Peace Of Mind! Accident Free! No Worries! Warranty Provided! Open Daily Including Weekends And Public Holidays!,"CategoryPARF Car, Premium Ad Car",SOLD
Honda Civic Hybrid 1.3A (COE till 06/2030),"$69,888","$9,800",02-Jun-2010,2008,N.A.,$767 /yr,Auto,"$23,427","$33,922","$32,875","$20,354","1,339 cc",70.0 kW (93 bhp),"1,290 kg",2,Mid-Sized Sedan,"Features Smooth 1.3L I-VTEC engine with Hybrid ima, automatic transmission, multi function steering control, super cold aircon. View specs of the Honda Civic Hybrid (2002-2011)","Accessories Leather seats, reverse sensors, front and rear camera, auto retractable side mirrors, multi steering controls. Fog lights, climatic aircon system.",Description New replaced Honda Hybrid battery. Very well maintained. All major wear and tear been replaced with receipt. Road tax just renewed. Worry free as all fixed up. Extremely neat and clean interior and exterior. Please contact me via WhatsApp.,"CategoryCOE Car, Direct Owner Sale, Hybrid Cars",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mitsubishi Lancer 1.6M GLX (COE till 01/2024),"$9,999","$13,370",16-Jan-2009,2008,N.A.,"$1,101 /yr",Manual,"$1,941","$12,837","$13,024","$12,837","1,584 cc",79.0 kW (105 bhp),"1,162 kg",1,Mid-Sized Sedan,"Features 1.6L With 4 Cylinders Inline, 16 Valve Engine SOHC, Smooth 5 Speed Manual Transmission, ABS, Airbag, 79.0kw (105bhp). View specs of the Mitsubishi Lancer (2006-2008)","Accessories Original Black Seat, Factory Fitted Sport Rims, Audio System, Parking Rear Sensor.","Description Owner Reduce Price From $16,888 To Now At $9,999 NETT 1st Owner, New Amaron Battery, New Tyres, New Both Lower Arm Left And Right, Just Do Full Timing Belt Set On 16/01/23 And Coolant Full Piping Plus Engine Oil Switch Pressure On 16/1/23. Lamborghini Orange Metallic Gold Colours With Full Sets Of Bodykits. Road Tax Till 15/07/2023.","CategoryCOE Car, Direct Owner Sale",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mitsubishi Lancer 1.6A GLX (COE till 04/2024),N.A,N.A,19-Jun-2001,2001,N.A.,"$1,101 /yr",Auto,N.A.,"$16,982","$13,088","$23,775","1,584 cc",NA,N.A.,NA,Mid-Sized Sedan,Features 1.6l 4 speed auto transmission producing 109bhp & 137nm of torque. View specs of the Mitsubishi Lancer (2006-2008),"Accessories Bcbr coilover, sports rim, defi unit, memo steering wheel, android unit. Bidded carplate #354","Description Serviced regularly by owner, very good short term car (non renewable) high loan available with low interest. Bank/in house loan and competitive insurance available. Gearbox and engine warranty available.","CategoryCOE Car, Consignment Car",SOLD
MINI Cooper S 1.6M (COE till 10/2029),"$138,888","$21,240",30-Oct-2009,2009,N.A.,"$1,039 /yr",Manual,"$19,986","$32,025","$30,574","$32,025","1,598 cc",128.0 kW (171 bhp),"1,130 kg",6,Sports Car,"Features R56 MINI Cooper S. 1.6L turbocharged EP6 N14 mated to GETRAG GS6 6 speed manual. 175hp/285nm. Drivetrain, brakes, suspension etc. Original. View specs of the MINI Cooper",Accessories Unmodified red + black trim option with leather seat upholstery in good condition. Matching original dash and center console. Oem 10 spoke alloy rims.,"Description Rare manual 2nd generation MINI Cooper S - fun and lightweight! 6 speed transmission. Completely mechanically original with untouched interior/exterior fi ttings, only minor use wear. Well maintained, smooth and reliable with service records available. Painted in british racing green metallic. Price is negotiable, aiming to sell with current 2 digit plate. Feel free to arrange appointments.","CategoryCOE Car, Direct Owner Sale",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Honda Vezel 1.5A X,N.A,N.A,22-Oct-2015,2015,N.A.,$682 /yr,Auto,N.A.,"$18,676","$56,001","$8,676","1,496 cc",96.0 kW (128 bhp),"1,190 kg",2,SUV,"Features Responsive 1.5l 4 cylinder inline DOHC I-VTEC, output at 128bhp, torque 155nm, airbags, climate control, cruise control, CTBA! View specs of the Honda Vezel 2014 (2014)","Accessories Original sports rims, Pioneer headunit, reverse camera/sensors, solar films, retractable side mirrors, fog lights, keyless entry/start/stop.",Description Beautiful white pearl metallic vezel in superb condition! Still in original paintwork! Confirm non PHV unit! Parked under shelter! Extremely well taken care interior and exterior. Major wear and tear replaced! Regularly serviced and maintained! Immediate ownership transfer! Buy with a peace of mind! Trade in welcome! Flexible loan amount with attractive interest rates available. Call us now!,CategoryPARF Car,SOLD
Lexus RX270,"$53,800",N.A.,29-Jun-2013,2013,"91,000 km (9.3k /yr)","$2,002 /yr",Auto,"$31,293","$48,555","$66,989","$59,977","2,672 cc",138.0 kW (185 bhp),"1,840 kg",3,SUV,Features 2.7A 4 cylinders inline 16-valves DOHC dual VVT-I engine with 6 speed transmission producing 185bhp & 252nm torque. All wheel drive. View specs of the Lexus RX270 (2012-2015),"Accessories Auto headlights, rain sensing wipers, multi function steering wheel, keyless entry/start/stop, rear aircon, electric tailgate, etc.","Description Well maintained and low mileage unit. Well taken care of by discerning owner. Japanese reliability with comfort of a continental. Bulletproof Toyota reliability, good for COE renewal! Viewing by appointment only, contact us now.","CategoryPARF Car, Consignment Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Toyota Wish 2.0A (COE till 01/2025),N.A,N.A,11-Jan-2010,2009,N.A.,"$1,677 /yr",Auto,N.A.,"$22,003","$19,732","$22,003","1,987 cc",106.0 kW (142 bhp),"1,380 kg",3,MPV,"Features Powerful & Reliable 2.0L 16 Valves Dual VVTI-DOHC Engine, CVT Auto Transmission, 6x SRS Airbags, Digital Climate AC Control,Knock Down Rear Seats. View specs of the Toyota Wish","Accessories Upgraded Headunit With Bluetooth Connectivity & Reverse Camera/Sensors, Sport Rims, Retractable Side Mirrors, Leather Seats.",Description Sold!,CategoryCOE Car,SOLD
Honda Vezel 1.5A X,N.A,N.A,25-Feb-2015,2014,N.A.,$682 /yr,Auto,N.A.,"$18,836","$57,199","$8,836","1,496 cc",96.0 kW (128 bhp),"1,190 kg",2,SUV,Features View specs of the Honda Vezel 2014 (2014),Accessories Powerful I-VTEC engine with earthdreams technology. CVT gearbox. Leather seats. Original alloy wheels.,Description Lucky win preowned cars. Non phv unit. Well maintained by retiree owner. New road tax paid. Flexible loan available. Bank and in house loan available. Call us now for a viewing today. Quality cars at affordable pricing,CategoryPARF Car,SOLD
Mercedes-Benz A-Class A200 AMG Line,N.A,N.A,21-Mar-2019,2018,N.A.,$586 /yr,Auto,N.A.,"$32,137","$32,200","$36,992","1,332 cc",120.0 kW (160 bhp),"1,375 kg",2,Hatchback,"Features Powerful1.4L turbo with 160bhp, 7 speed DCT automatic with paddle shifters, AMG flat bottom steering wheel with touch controls and multiple drive mode","Accessories Keyless go, reverse camera, digital instrument panel, ambient lighting, Bluetooth, Carplay/Android Auto, Navi, dynamic select, cruise control.","Description Low mileage Elegant sexy white AMG line hatch back with ENKEI RIMS. Very well maintained by previous owner! Extended warranty with C&C till 2024 with latest servicing record! Trade in are welcome, flexible loan package available! Contact us to view this beauty at our show room!","CategoryPARF Car, Premium Ad Car",SOLD
BMW 5 Series 520i,"$136,800","$21,130",04-May-2018,2018,"90,888 km (18.3k /yr)","$1,210 /yr",Auto,"$64,016","$48,753","$38,389","$60,255","1,998 cc",135.0 kW (181 bhp),"1,530 kg",2,Luxury Sedan,"Features 2.0L cylinder in-line TwinPower turbocharged engine at 181Bhp, 8 speed ZF gearbox, paddle shifters, cruise control, auto adaptive LED/DRL headlights","Accessories Leather seats, sports rims, audio system, electric seats, reverse camera, navigation system.","Description Warranty Till May 2023. Full service record with agent! Agent warranty till Apr 2023, Classy Tan Brown leather, park assist with 360 degree view, tyre pressure display, wireless charging, various finance and trade in package available, pls call for viewing and test drive now.","CategoryPARF Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mercedes-Benz C-Class C200 Exclusive,"$97,800","$24,750",12-May-2016,2016,"98,000 km (14.1k /yr)","$1,202 /yr",Auto,"$45,261","$40,493","$55,001","$43,691","1,991 cc",135.0 kW (181 bhp),"1,465 kg",1,Luxury Sedan,"Features 2.0l 4-cylinder Inline 16-valve Turbocharged Engine 181bhp, 7G-tronic Auto Transmission, Keyless Engine Start/stop, LED Headlights/DRL. View specs of the Mercedes-Benz C-Class Saloon (2014-2018)","Accessories Factory Multimedia System, Bluetooth Interface, Reverse Camera/sensors, Handsfree Boot Release, Front Electric Seats With Memory.",Description 1 Owner Only. Immediate Transfer Of Ownership. Full Loan Available! Bank/in House Financing Available! 100% Accident Free! High Comfort Level And Multiply Entertainment Features. No Repairs Needed! Pre Purchase Inspection Welcome!,"CategoryPARF Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Lexus ES250,"$53,800","$21,870",27-Oct-2014,2014,"110,000 km (13k /yr)","$1,792 /yr",Auto,"$33,541","$34,805","$73,010","$40,727","2,494 cc",135.0 kW (181 bhp),"1,615 kg",2,Luxury Sedan,"Features 2.5l 4 cylinders inline DOHC dual VVT-I engine, 6 speed auto transmission, cruise control, multi function steering, keyless entry, start/stop. View specs of the Lexus ES 250 (2013-2018)","Accessories Factory fitted audio system, dual electric memory seat, ventilated seats, auto headlamp, reverse sensors/camera, Sunroof.",Description Original paintwork. Regularly serviced. Immaculate condition. Seldom driven. Sheltered parking.,"CategoryPARF Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
MINI John Cooper Works Countryman 2.0A ALL4 LED,"$215,888","$24,780",28-Aug-2020,2020,"18,000 km (6.8k /yr)","$1,210 /yr",Auto,"$72,714","$52,567","$30,890","$66,621","1,998 cc",225.0 kW (301 bhp),"1,600 kg",2,Sports Car,"Features 2.0L Turbocharged Engine, 8 Speed Steptronic Transmission Producing 301 Bhp & 450 Nm Of Torque! Impressive 0-100 In 5 Seconds For A Crossover!","Accessories Adaptive Suspension, Panoramic Roof, 19"" Circuit Spoke Rims, Heads Up Display, Roof Rail, Harmon Kardon, Anthracite Headliner, All New Digital Dash!","Description Agent Unit, 5 Years Free Servicing & Warranty. High Loan & Trade In Available!","This car comes with 6-mth Sgcarmart Warranty, the best protection for your car.Ask the dealer to activate the warranty to start the coverage.$0 Repair BillsComprehensive Vehicle Inspection","CategoryPARF Car, Low Mileage Car, Sgcarmart Warranty Cars"
Chevrolet Orlando 1.4A Turbo,"$57,388","$14,070",18-Oct-2016,2016,"128,397 km (19.7k /yr)",$604 /yr,Auto,"$29,058","$16,195","$54,200","$16,195","1,362 cc",103.0 kW (138 bhp),"1,650 kg",2,MPV,"Features Carro Certified. 12 months engine and gearbox warranty, no major accidents, no mileage tampering and 5-day money back guarantee. View specs of the Chevrolet Orlando (2011-2018)",Accessories All vehicles have gone through a rigorous 160 point inspection to ensure full transparency of the condition of the vehicle. Enquire to find out more!,"Description The Chevrolet Orlando is one of the most economical 7 seaters you can buy. Spacious in the interior and combined with a 1.4L turbocharged engine, you definitely get great value for money. Drop by Carro to view the largest fleet in Singapore with 100% transparency on our vehicle condition, financing options, service add-ons and many more.","CategoryPARF Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Volkswagen Beetle 1.2A TSI (New 5-yr COE),"$60,800","$12,150",20-Aug-2013,2013,"77,000 km (8k /yr)",$508 /yr,Auto,N.A.,"$19,458",N.A.,"$9,458","1,197 cc",77.0 kW (103 bhp),"1,222 kg",2,Hatchback,"Features 1,197cc, 103bhp, 4 cylinders, 7 speed DSG, 14km/l at 55l, FWD, 175nm, 16"" VW rim, parking sensor. LED day light, xenon headlight. Fog light View specs of the Volkswagen Jetta (2011-2017)","Accessories Pioneer multi media player, auto climate aircon, retractable side mirrors, knockdown rear seats. Oil temperature, timer and turbo pressure meters.","Description New 10 Years COE at $103,800 On Small and cute but powerful and speedy car, well taken care of by previous lady owner. Car always park under shelter. Polish and wash frequently to maintain nice original paintwork. No accident and no repair required. Bank and in house, full or flexible loan scheme available. Scrap or trade in are welcome too. Contact us now to view and test drive before purchase it","This car comes with 6-mth Sgcarmart Warranty, the best protection for your car.Ask the dealer to activate the warranty to start the coverage.$0 Repair Bills188-Point Inspection","CategoryCOE Car, Premium Ad Car, Low Mileage Car, Sgcarmart Warranty Cars"
Honda Jazz 1.5A RS,N.A,N.A,08-Jan-2015,2014,N.A.,$684 /yr,Auto,N.A.,"$15,051","$65,889","$5,051","1,498 cc",96.0 kW (128 bhp),"1,046 kg",3,Hatchback,Features View specs of the Honda Jazz (2014-2021),NA,Description Sold From Direct Seller To Private Buyer Thru Consignment By SGCarConsign.,CategoryPARF Car,SOLD
Toyota Alphard 2.5A S C-Package,N.A,N.A,29-Sep-2015,2015,N.A.,"$1,792 /yr",Auto,N.A.,"$42,161","$58,109","$51,026","2,493 cc",134.0 kW (179 bhp),"2,030 kg",3,MPV,,,,,
Honda Shuttle 1.5A G,"$91,800","$13,190",18-Nov-2019,2019,"49,000 km (14.3k /yr)",$682 /yr,Auto,"$27,089","$19,762","$30,000","$9,762","1,496 cc",95.0 kW (127 bhp),"1,130 kg",1,Stationwagon,"Features 1.5l earth dream 4 cylinders inline 16 valves I-VTEC engine, smooth CVT transmission, eco mode, traction control, airbags, ABS, keyless entry. View specs of the Honda Shuttle (2015)","Accessories Leather seats, sports rims, touch screen audio systems, retractable side mirrors with indicators, reverse camera, fog lights, knockdown rear seats.","Description 1 owner, Huge boot space, immaculate leather seats and solid reliable Japanese stationwagon, Sgcarmart 2023 premium dealer award winner! Buy with confidence! Full loan available, lowest bank & in-house interest rates, in house warranty provided, perfect car condition with no repairs needed! All vehicles undergone workshop 120 point inspection check to be certified road worthy. High trade in value!",CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mercedes-Benz GLC-Class GLC200,N.A,N.A,01-Nov-2019,2019,N.A.,"$1,202 /yr",Auto,N.A.,"$42,557","$36,001","$51,580","1,991 cc",135.0 kW (181 bhp),"1,705 kg",1,SUV,"Features 194bhp 2.0L 4 cylinder inline 16 valve turbocharged engine, 9G-tronic auto transmission, paddle shifters, RWD, torque 320 Nm, fuel consumption 13km/l. View specs of the Mercedes-Benz GLC-Class (2016)","Accessories 18"" rims, LED head lights/Daytime running lights, ambient lighting, 360 view reverse camera/sensors, dynamic select with selectable driving modes.","Description Cycle & Carriage unit. C&C 10 years warranty engine. ambience interior lightnings, auto pilot parking. Elegant metallic blue in colour with brown leather interior. Pristine condition. 100% guarantee accident free, flawless condition. Flexible loan available and trade ins are welcomed. Call us for more info!","CategoryPARF Car, Premium Ad Car",SOLD
Honda Vezel 1.5A S Honda Sensing,"$48,828","$15,150",18-Dec-2015,2015,"78,324 km (10.7k /yr)",$682 /yr,Auto,"$25,227","$21,214","$56,989","$16,700","1,496 cc",96.0 kW (128 bhp),"1,210 kg",2,SUV,Features 1.5 Naturally Aspirated Engine. Automatic Transmission. Incorporated With EarthDreams Technology. Front Wheel Drive. View specs of the Honda Vezel 2014 (2014),Accessories Keyless Entry/ Start Stop. Premium Dual Tone Leather Ventilated/Heated Upholstery Seats. Pioneer Infotainment. iRoad Car Cam. Reverse Camera/ Sensors.,"Description Extremely Well Maintained Unit! Special 1 & Only 1 ""S"" Vezel On The Market. 100% In-House/ Bank Loan Welcomed With Guaranteed Approval At The Lowest Interest Rates. Cash Deal Welcomed. 5% Off Insurance Premium. Wear & Tears Done Up With Receipts! Guaranteed Trouble-Free. Buy With 78-Comprehensive Warranty For A Peace Of Mind. STA/ Workshop Check Welcomed. Hurry Before Its Sold!","This car comes with 6-mth Sgcarmart Warranty, the best protection for your car.Ask the dealer to activate the warranty to start the coverage.$0 Repair BillsComprehensive Vehicle Inspection","CategoryPARF Car, Sgcarmart Warranty Cars"
BMW 3 Series 330e Plug-in Hybrid Luxury,"$262,800","$25,180",05-May-2022,2021,"4,800 km","$1,210 /yr",Auto,"$122,936","$54,244","$95,801","$69,640","1,998 cc",218.0 kW (292 bhp),"1,770 kg",1,Luxury Sedan,"Features 1998cc (Inline-4, Turbocharged), Combine 292bhp & 420NM Torque, Charger Included. View specs of the BMW 3 Series Plug-in Hybrid (2021)","Accessories Connected Drive, GPS, Bluetooth, Reverse Camera, Comfort Access, Driver Memory Seats, Contactless Boot Release, 18"" Rims",Description View By Appointment Only! The only certified BMW 330e Plug-In Hybrid sedan. Powerful yet very fuel efficient. Clad in mineral white with mocha upholstery. Certified with BMW 360 degree technical & optical checks. With 6 years battery warranty. Finance and insurance assistance with trade in offers. Call for test-drive before it gets sold!,"CategoryPARF Car, Almost New Car, Low Mileage Car, Hybrid Cars",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Toyota Prius Alpha Hybrid 1.8A S,"$92,388","$16,040",17-Apr-2018,2018,"71,000 km (14.2k /yr)",$974 /yr,Auto,"$36,518","$30,231","$39,000","$24,324","1,797 cc",100.0 kW (134 bhp),"1,460 kg",2,MPV,Features View specs of the Toyota Prius Alpha Hybrid (2017-2022),NA,"Description Min PARF value $12162, well maintained and reliable Toyota Prius Hybrid MPV. Good fuel efficiency, save petrol on the long. Flexible loan arrangements. No hidden cost or admin fees.","CategoryPARF Car, Hybrid Cars",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Audi A4 Mild Hybrid 2.0A TFSI S-tronic,N.A,N.A,29-Dec-2020,2020,N.A.,"$1,194 /yr",Auto,N.A.,"$34,789","$39,000","$40,705","1,984 cc",110.0 kW (147 bhp),"1,515 kg",2,Luxury Sedan,"Features 2.0L 4 cylinders inline 16 valve turbocharged, 150hp/torque 270 Nm, 8.9s (0 to 100 km/h), top speed 225 km/h, 7 speed S-tronic and f/c of 16.4km/l. View specs of the Audi A4 Sedan Mild Hybrid (2020)","Accessories Virtual cockpit, touch screen infotainment, reverse cam, navi, Apple/Android CarPlay, memory seats, electrical seats, kick boot & auto hold.",Description Pristine condition! 1 owner! Low mileage! Agent unit! Full service done up at Premium Automobiles! Comprehensive warranty till 12/2025 at Premium Automobiles! 100% loan available from 2.28% P.A! 1 to 1 exchange without cash top up! Hurry and call our friendly sales adviser for more information before it's sold! Best price guaranteed!,"This car comes with 6-mth Sgcarmart Warranty, the best protection for your car.Ask the dealer to activate the warranty to start the coverage.$0 Repair BillsComprehensive Vehicle Inspection","CategoryPARF Car, Premium Ad Car, Low Mileage Car, Hybrid Cars, Sgcarmart Warranty Cars"
Mazda CX-5 2.0A Premium,"$120,800","$17,050",27-Jun-2019,2019,"28,700 km (7.5k /yr)","$1,210 /yr",Auto,"$47,288","$27,343","$42,002","$30,281","1,998 cc",121.0 kW (162 bhp),"1,576 kg",1,SUV,"Features 4-cylinder 16-valve DOHC SkyActiv engine, 6-speed auto transmission producing 162bhp, torque 213nm. Achievable fuel consumption of 12km/l. View specs of the Mazda CX-5 (2017)","Accessories 360 reverse camera, head up display, apple car play, keyless entry, Bose premium audio with 9 speakers, navigation & driver's electric/memory seat.","Description Extended servicing from 2023 to 2025 Gorgeous styling inside out, captivating ride & handling. Stunning pearl white! high trade-in available, one owner low mileage unit. Immaculate showroom condition. Premium model with Apple CarPlay & Android Auto. Sporty SUV for your everyday family needs. Fast and easy financing with lowest interest. Hassle-free transaction. Contact us for a viewing today.","CategoryPARF Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
BMW 5 Series 520i Mild Hybrid M-Sport,"$276,800","$24,710",20-Dec-2022,2021,78 km,"$1,210 /yr",Auto,"$141,348","$57,239","$107,201","$75,031","1,998 cc",137.2 kW (183 bhp),"1,685 kg",2,Luxury Sedan,"Features 2.0L TwinPower turbocharged inline 4 cylinders 16 valve engine with mild Hybrid technology, 8-speed Steptronic auto.","Accessories Dual zone aircon. Ambient lighting. 12.3"" control and instrument display. Parking assist. Comfort access, electric seats, m aerodynamics package.","Description Newly registered m-sports unit, M-Sport edition kit, m steering wheels, rims, sports seats, and more! Factory-fitted Sunroof, adaptive headlights. 5 years warranty by an established workshop. For immediate transfer, we offer the lowest bank rates and competitive trade-in prices, flexible financing available. Call now for a non-obligatory viewing.","CategoryPARF Car, Almost New Car, Low Mileage Car, Hybrid Cars",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Nissan Latio 1.5A (COE till 10/2023),N.A,N.A,09-Oct-2008,2008,N.A.,"$1,026 /yr",Auto,N.A.,"$16,406","$15,142","$16,406","1,498 cc",80.0 kW (107 bhp),"1,130 kg",4,Mid-Sized Sedan,Features View specs of the Nissan Latio Sedan (2005-2011),NA,"Description Excellent running condition, minor scratches on right door. Can be transferred on the spot after confirmation. COE non renewable.","CategoryCOE Car, Direct Owner Sale",SOLD
BMW X3 xDrive28i Sunroof (COE till 11/2031),"$125,888","$14,590",25-Jul-2012,2012,"161,547 km (15k /yr)","$1,331 /yr",Auto,"$57,257","$46,055","$66,387","$46,055","1,997 cc",180.0 kW (241 bhp),"1,720 kg",3,SUV,Features Consignment Unit - Viewing by appointment basis only. View specs of the BMW X3,Accessories All vehicles have gone through a rigorous 160 point inspection to ensure full transparency of the condition the vehicle. Enquire to find out more!,"Description A luxury SUV that is built around versatility. The BMW X3 is a 2000cc dynamo producing 241bhp. This BMW x3 is painted with its signature metallic silver paired with black anthracite interior, and in full stock condition. It has great passenger space, cargo space, and an exhilirating driving experience. A great car for fun and function.","CategoryCOE Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mercedes-Benz GLB-Class GLB200 Progressive,N.A,N.A,18-Nov-2021,2021,N.A.,$586 /yr,Auto,N.A.,"$35,514","$56,032","$41,720","1,332 cc",120.0 kW (160 bhp),"1,555 kg",1,SUV,"Features Powered by 4 cylinders inline, 16 valves turbo charged producing 160bhp, 7g-DCT auto transmission, multi function steering control, ABS, airbags. View specs of the Mercedes-Benz GLB-Class","Accessories 18"" sport rims, factory fitted 10.25 digital screen display, 64 ambient light. MBUX multimedia system. Carplay/Android Auto. Rear aircon.",Description New arrival! Most valued buy! Beautiful white 7 seater SUV unit with pristine condition! Peace of mind! Fully serviced by agent and still under 3 years warranty by C&C. 100% accident free! Lowest genuine mileage at only 7700km! Well maintained by 1 careful owner. Trade in welcome. Call now to view and test drive the car today! Don't miss! Strictly by appointment only! Consignment unit.,"CategoryPARF Car, Low Mileage Car",SOLD
BMW 3 Series 320i M-Sport,N.A,N.A,14-Jul-2021,2021,N.A.,"$1,210 /yr",Auto,N.A.,"$49,607","$61,112","$61,450","1,998 cc",135.0 kW (181 bhp),"1,495 kg",1,Luxury Sedan,"Features BMW latest G20 4 inline 2.0L engine with 181bhp, paddle shifters, auto seats with driver memory, LED headlight system, through loading system. View specs of the BMW 3 Series Sedan (2019)","Accessories iDrive with GPS, cruise control with brake function, auto rain & light sensors, PDC with rear camera, driving assistance, auto-tailgate & 18"" M-rims.","Description 1 owner, super low mileage. Agent warranty of 5 years/200kkm and free servicing/100kkm setting a peace of mind for your purchase. Accident free. Flexible loan package to choose from. Please call us for appointment to view. Come to our showroom and look at other interesting cars too.","CategoryPARF Car, Premium Ad Car, Low Mileage Car",SOLD
Isuzu FRR90,"$47,800","$33,110",26-Sep-2014,2014,N.A.,N.A.,Auto,N.A.,"$47,632","$18,397","$2,382","5,193 cc",2,"5,680 kg",2,Truck,,,,,
Honda Civic 1.6A VTi,N.A,N.A,20-Jun-2017,2017,N.A.,$742 /yr,Auto,N.A.,"$20,403","$46,489","$20,565","1,597 cc",92.0 kW (123 bhp),"1,249 kg",1,Mid-Sized Sedan,"Features 1.6L I-VTEC Engine, 123 BHP, 5 Speed Automatic With Paddle Shifters/Eco Mode, ABS, Airbags, Auto Headlights/Rain Sensors, Keyless Entry/Start/Stop. View specs of the Honda Civic (2016-2021)","Accessories Sports Rims, Leather Seats, Factory Fitted Audio System, Reverse Sensors/Camera.",Description 1 Owner Only. Low Mileage Done At 55561km Only. Super Well Maintained And Regularly Serviced. Immediate Ownership Transfer! Buy With A Peace Of Mind! Flexible Bank Loan With Low Interest Rate Available. Call Now For Viewing Appointment.,"CategoryPARF Car, Low Mileage Car",SOLD
Honda Civic 1.8A VTi-S (COE till 02/2031),"$88,888","$11,290",26-Apr-2011,2009,"114,000 km (9.5k /yr)","$1,174 /yr",Auto,"$35,882","$25,827","$45,586","$25,827","1,799 cc",103.0 kW (138 bhp),"1,219 kg",3,Mid-Sized Sedan,"Features Powerful and reliable 1.8L i-VTEC engine producing 138bhp with 5 speed automatic gearbox detached with paddle shifter, SRS airbag, ABS. View specs of the Honda Civic (2006-2012)","Accessories Original TE37 Rims Worth $3K+, D2 Coilover first hand, Painted with BMW M2 Hockenheim Silver worth $2k+, Tyres 90% Neat (All first hand with receipt).",Description Genuine Low Mileage! Super Well Maintained by Enthusiast owner. Serviced by reputable workshop with every 2-3k km mileage. Wear and tear done up. Bank and in house flexible high/full loan available. All credit profile welcomed. Trade in accepted. Call/WhatsApp now for enquiry. Viewing by appointment only.,"CategoryCOE Car, Premium Ad Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
