model,price,depreciation,registration_date,manufactured_year,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,number_of_owner,types,features,accessories,descriptions,category,status
Toyota Prius Hybrid 1.8A S,"$70,800","$17,120",13-Apr-2017,2017,"73,175 km (12.2k /yr)",$976 /yr,Auto,"$24,392","$29,007","$53,001","$5,000","1,798 cc",90.0 kW (120 bhp),"1,375 kg",4,Hatchback,"Features Extremely reliable and fuel efficient 1.8L 4 cylinder inline 16v DOHC VVTI Hybrid engine, CVT auto transmission, SRS airbags, ABS, traction control.","Accessories Keyless start/entry. Leather seats, reverse camera and sensors. Multi function steering wheel, cruise control.",Description Fuel efficiency and reliability! 100% accident free unit! Well maintained by fussy owner! Spacious headroom and legroom with huge boot space! Flexible financing schemes available here to meet your needs! STA gradings welcome! For a peace of mind! Make an appointment with our sales consultant to view this unit before it sold!,"CategoryPARF Car, Hybrid Cars",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
MINI John Cooper Works 1.6A Sunroof (New 10-yr COE),"$138,800","$13,870",31-Dec-2013,2013,"54,000 km (5.8k /yr)",$742 /yr,Auto,N.A.,"$33,710",N.A.,"$39,194","1,598 cc",155.0 kW (207 bhp),"1,185 kg",6,Sports Car,Features Laser Blue with Aspen White paintwork. N18 engine coupled with 6 speed AISIN sport transmission. Black Leather Lounge with Championship Red interior. View specs of the MINI John,"Accessories Harman Kardon sound system. Panoramic glass roof. Paddle shifters. Brembo brakes. JCW aerodynamic kit. 17"" JCW Challenge spoke wheels.","Description Rare MINI JCW (R56 facelift) with updated, torquey N18 engine, sweet exhaust notes, stiffer suspensions and impressive road holding. Well loved unit with no expense spared on maintenance. Super low mileage with verifiable mileage at MINI Habitat. New Michelin PS5 tyres. Powerful drive with 211 horses. 0-100 in 6.5s. Do arrange in advance as this unit is on consignment. Vehicle inspection welcome.","This car comes with 6-mth Sgcarmart Warranty, the best protection for your car.Ask the dealer to activate the warranty to start the coverage.$0 Repair BillsComprehensive Vehicle Inspection","CategoryCOE Car, Premium Ad Car, Low Mileage Car, Sgcarmart Warranty Cars"
Honda S2000 2.0M (COE till 02/2028),"$159,800","$32,860",26-Feb-2008,2008,"23,000 km (1.5k /yr)","$1,815 /yr",Manual,"$24,596","$37,985","$50,578","$41,784","1,997 cc",177.0 kW (237 bhp),"1,270 kg",3,Sports Car,"Features 2L F20C 4 cylinder inline 16 valve DOHC VTEC engine, 6 speed gearbox, 240bhp with 208 nm of torque. View specs of the Honda S2000 (2000-2009)","Accessories New brake rotors, new Michelin sports tires new expensive Esatto audio system and sound proofing, reverse camera.",Description Car is in superb condition and parked under shelter. Well kept by a loving owner with No expense spared. Shock absorber among $5k of receipt (Dec 22'). Great for the enthusiastic collector who appreciates its value. Various financing schemes are available. Call for a viewing.,"CategoryCOE Car, Premium Ad Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mercedes-Benz E-Class E200 AMG Line,"$119,588","$24,270",14-Oct-2016,2016,"55,000 km (8.4k /yr)","$1,202 /yr",Auto,"$64,966","$54,213","$56,500","$69,584","1,991 cc",135.0 kW (181 bhp),"1,605 kg",2,Luxury Sedan,"Features Powerful 4 cylinders inline 16 valve DOHC turbocharged, 9G-tronic automatic transmission, auto start/stop, keyless go, cruise control, paddle shift. View specs of the Mercedes-Benz E200","Accessories Comes w/Factory fitted, 360 degrees cams/sensors, elect memory seats, infotainment system w/steering controls, soft closing doors, sunshades, park ast","Description C&C Unit. Agent Service Record, Stylish and powerful Mercedes e200 equipped with a refined turbo mated to a 9g-tronic Spacious and comfortable cabin for 5 adults to travel in comfort and luxury! Large boot for your golf bags/luggages! HIgh Trade in welcome, Full loans available From 2.98%. Drove by only 1 owner. Call or msg to view!","CategoryPARF Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Volvo S60 T2,"$76,800","$14,360",07-Nov-2017,2017,"129,000 km (23.7k /yr)",$684 /yr,Auto,"$35,408","$25,458","$42,902","$22,642","1,498 cc",90.0 kW (120 bhp),"1,558 kg",1,Luxury Sedan,"Features 1.5L Inline 4 Cylinders Turbocharged Engine, 6 Speed Auto Transmission, ABS, SRS Airbags, TC, Paddle Shifters, Cruise Control. View specs of the Volvo S60 (2014-2019)",Accessories Electric/memory Seats. Bluetooth Interface. Reverse Sensors. Auto-fold Wing Mirrors. Multi Control Steering With Paddle Shifts. Fold-down Rear Seats.,"Description 1 Owner Only, Fuel Efficiency, Well Maintained, Pristine Condition, Ideal Family Car, Low Depreciation, Clean And Neat Interior, 100% In-house Loan And Bank Loan Available, Call Now And Arrange Viewing With Us.",CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Porsche Macan GTS 3.0A PDK,"$217,800","$40,690",18-Jan-2017,2016,"90,000 km (14.4k /yr)","$2,382 /yr",Auto,"$104,348","$87,726","$53,001","$129,907","2,997 cc",265.0 kW (355 bhp),"1,970 kg",2,SUV,"Features 3.0L V6 Twin-turbocharged Engine With 7 Speed PDK Transmission Producing 360bhp And 500nm Torque, 0 To 100km/h At 5.2 Seconds, Top Speed 256km/h. View specs of the Porsche Macan","Accessories Sport Rims, Brembo BKK, GTS Package, Sports Chrono, Sports Exhaust, PASM, Multifunction Steering Wheel, Electric Memory Seats, Climate Control.","Description Careful owner, agent maintained with extended Stuttgart warranty till 2024, fuel efficiency, easy financing, flexible loan available, accident free, 6 months free servicing by reputable workshop with 40 years experience in the market for a peace of mind, call for viewing/test drive now.",CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mercedes-Benz GL-Class GL350d BlueTEC AMG Line,"$183,000","$36,540",19-Sep-2016,2016,"89,500 km (13.6k /yr)","$3,366 /yr",Auto,"$94,720","$79,828","$57,002","$115,691","2,987 cc",190.0 kW (254 bhp),"2,455 kg",1,SUV,"Features Powerful n fuel efficient 24 valve EURO VI V6 Turbo engine producing 255BHP with 620Nm. All wheel drive,3rd row electric seats,terrain assist","Accessories AMG line. 21""AMG sports rims,vehicle assistance/alert,window blind,Bluetooth/nav/keyless start/stop/entry,electric tailgate,suction door, 360 camera",Description Rare. 1 owner unit. Nice bidded 3 digit num. Genuine mileage with records from owner. Maintained by MBM Wheelpower. Huge road presence. Head turner. Trade in available. Lowest interest rate from 2.78% without admin. 2 years warranty on engine and gearbox.Call for an appointment as I'm not always in office.,"This car comes with 6-mth Sgcarmart Warranty, the best protection for your car.Ask the dealer to activate the warranty to start the coverage.$0 Repair BillsComprehensive Vehicle Inspection","CategoryPARF Car, Sgcarmart Warranty Cars"
Volkswagen ID.Buzz Electric Cargo,"$225,000","$22,590",31-Mar-2023,2022,411 km,N.A.,Auto,"$72,307","$18,502","$72,605",$926,N.A.,1,"2,300 kg",1,Van,,,,,
BMW 7 Series 740Li (COE till 09/2032),"$183,800","$19,450",27-Sep-2012,2012,N.A.,"$2,598 /yr",Auto,"$101,372","$96,665","$107,249","$96,665","2,979 cc",235.0 kW (315 bhp),"1,845 kg",3,Luxury Sedan,"Features Pure TwinPower turbo 6 cylinder engine, 8 speeds, 326bhp at 450m, 0-100km/h in 5.7s, dynamic drive controls, digital instrument cluster. View specs of the BMW 7 Series","Accessories Navigation, suction closing, PDC with reverse camera, rear electrical ventilated seats,",Description Very well Maintain Unit! One and Only Full Hamann BodyKit with Upgraded Rims. After Market Legal exhaust with LTA approval. Trade in/Consignment Available! Flexible Loan can be Arrange! Contact our friendly staff to arrange an appointment for This Premium Ride!,"CategoryCOE Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Honda Jazz 1.3A,"$67,800","$12,700",30-May-2018,2018,"76,800 km (15.7k /yr)",$578 /yr,Auto,"$23,633","$15,567","$38,000","$5,567","1,318 cc",73.0 kW (97 bhp),"1,052 kg",1,Hatchback,"Features Powered by 1.3L DOHC four cylinders I-VTEC engine, Earth Dreams CVT auto transmission, 97bhp. View specs of the Honda Jazz (2014-2021)","Accessories Factory fitted audio player, reverse sensors with camera, remote keys, paddle shifters, Bluetooth, multi steering wheel.","Description 1 owner. Agent Kah Motor warranty. Low mileage. 100% loan available. High loan and trade in available. Ex bankruptcy or bad credit can apply, fast and easy loan approval! Accident free! Contact our friendly consultant for a non obligation advice.",CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Peugeot 3008 1.6A e-THP EAT6 Allure,"$80,800","$14,420",13-Dec-2017,2017,"79,000 km (14.8k /yr)",$742 /yr,Auto,"$42,014","$28,779","$49,189","$27,291","1,598 cc",121.4 kW (162 bhp),"1,300 kg",1,SUV,"Features Economical 4 In-line 16VDOHC Turbo Charged 163 BHP Engine, Responsive 6 Speed EAT-6 Trans, paddle shifter, Panoramic roof, push start, cruise control View specs of the Peugeot 3008 (2017-2020)","Accessories Factory 8"" Capactive Touch Screen multimedia, factory pedimonte leather,18"" Alloy, LED DRL, auto rain sensor, Multizone Aircond/RR Aircond, power gate","Description Single owner, Low milage clocked, French design renowned for comfort and elegance, spacious n luxury at an affordable price tag too. Definitely Affordable depreciation. High specs version with panoramic roof n auto tail gate. A must to view, pls Whatapps or call for viewing appointment. Loan in-house or Bank can be tailored. Call before it's taken.","CategoryPARF Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mercedes-Benz A-Class A180 Style,"$86,888","$17,450",27-Sep-2017,2017,"71,000 km (12.8k /yr)",$740 /yr,Auto,"$32,029","$22,548","$42,801","$18,568","1,595 cc",90.0 kW (120 bhp),"1,395 kg",2,Hatchback,,,,,
Honda Shuttle 1.5A G LED,"$83,800","$13,410",27-Feb-2019,2018,"53,000 km (12.8k /yr)",$682 /yr,Auto,"$22,847","$20,129","$25,920","$10,181","1,496 cc",97.0 kW (130 bhp),"1,130 kg",1,Stationwagon,"Features 1.5l inline 4 cylinders 16 valves DOHC I-VTEC engine producing 127bhp, CVT transmission, ABS, airbags, auto LED headlights, econ mode, keyless entry. View specs of the Honda Shuttle (2015)","Accessories 16' sports rims, leather seats, DVD players reverse camera/sensors, retractable side mirrors with indicators, knockdown rear.","Description Giving 1x complimentary servicing at kah motor for all Honda models! Drive off with instant approval within the day! 1 owner shuttle with immaculate condition, one of the largest boot space japanese car with rear knock down to even enhance more space for all users! Spacious and neat interior with large leg space too! Flexible loans kindly call our sale executive to arrange for viewing appointment.","CategoryPARF Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Nissan Sylphy 1.5A Premium (COE till 11/2023),"$7,300","$11,900",28-Nov-2008,2008,"166,000 km (11.5k /yr)","$1,026 /yr",Auto,"$1,821","$19,556","$14,835","$19,556","1,498 cc",80.0 kW (107 bhp),"1,175 kg",3,Mid-Sized Sedan,"Features Powerful, smooth and reliable 1.5l DOHC engine, 4 speed transmission, retractable side mirror. View specs of the Nissan Sylphy (2007-2012)","Accessories Original rims, leather seats, factory fitted audio system, reverse sensor, auto retractable side mirrors and solar film.","Description Very well maintained by previous owner. Smooth and responsive engine, fuel efficient and reliable. No repair needed./in house loan available, trade in welcome. Please contact us to know more details. Call now, before it's sold.",CategoryCOE Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
BMW 7 Series 730Li Sunroof,"$178,800","$26,030",22-Dec-2017,2017,"96,000 km (18k /yr)","$1,210 /yr",Auto,"$102,172","$78,795","$49,000","$113,831","1,998 cc",190.0 kW (254 bhp),"1,720 kg",1,Luxury Sedan,"Features BMW G12 7 series powered by TwinPower turbocharged engine producing 254bhp/400nm, 8 speeds Steptronic transmission, keyless entry, auto LED headligh","Accessories Original 18"" sport rims, BMW connected drive with high performance sound system, Bluetooth, gps navigator, 360 view reverse camera, suction doors.","Description Well maintained by 1 owner, fully serviced by agent, 1 year warranty upon purchase, Nano polishing just done, bank loan interest rate from 2.78%, this is not a consignment car. Please kindly WhatsApp or call to fix an viewing appointment.","CategoryPARF Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Toyota Wish 1.8A (COE till 01/2027),"$44,800","$12,060",03-Jan-2007,2007,"130,000 km (8k /yr)","$1,458 /yr",Auto,"$19,564","$18,023","$52,660","$19,826","1,794 cc",97.0 kW (130 bhp),"1,300 kg",3,MPV,"Features 1.8L 4 cylinders inline 16 valves DOHC VVT-I, 4 speed automatic transmission, ABS, knockdown rear seats.","Accessories Retractable side mirror, projector headlights, DVD head unit player, leather seats, sports rims.","Description $0 downpayment. Can be use for grab, gogek etc. Reliable 7 seater car. Excellent condition. Flexibly loan packages, trade in available! Please call or text me for viewing.","CategoryCOE Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Toyota Dyna 150 2.8M,"$97,800","$10,340",30-Sep-2022,2022,N.A.,N.A.,Manual,"$36,638","$31,609","$38,728","$1,581","2,755 cc",2,"1,800 kg",2,Truck,Features View specs of the Toyota Dyna 150 Diesel (2014),"Accessories 3 years/100,000km borneo warranty. 2x free servicing. 10 liters Adblue. Front camera. Reverse sensor. Customizable canopy. Checkered plate.","Description Agent warranty with free servicing! $0 drive away with high trade-in! Borneo Y-plate unit, able to register under personal or company! Do not hesitate to contact us for a non-obligatory consultation!","CategoryAlmost New Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Land Rover Range Rover Evoque 2.0A 5DR,"$124,800","$20,710",16-Nov-2017,2017,"64,000 km (11.8k /yr)","$1,212 /yr",Auto,"$63,826","$48,377","$49,000","$59,728","1,999 cc",177.0 kW (237 bhp),"1,720 kg",2,SUV,"Features 2.0l inline 4 cylinders 16 valve turbocharged engine producing 240ps, 340nm. 0-100km/h 7.6secs, 9 speed auto transmission with paddle shifters.","Accessories Reverse camera, multi function steering, cruise control, Bluetooth, front electric seats, knockdown rear seats, rain sensing wipers.","Description Lowest mileage in the market. Superb well maintained pristine condition unit fully serviced by agent since day 1. 100% accident free, STA checks, workshop all welcome. Unbelievable attractive low interest rate with high approval for bank loan and all the way to 100% loan. Free servicing packages worth $1088 to be given. Call us to view this beauty with no obligations.",CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mitsubishi Fuso Super Great FV51S,"$75,800",N.A.,06-Mar-2014,2013,N.A.,N.A.,Auto,N.A.,"$98,932","$51,002","$4,947","11,967 cc",3,"8,900 kg",3,Truck,,,,,
Nissan NV350 2.5M,"$28,800","$11,290",04-Nov-2015,2015,N.A.,N.A.,Manual,"$2,098","$22,481","$8,225","$1,125","2,488 cc",2,"1,800 kg",2,Van,Features View specs of the Nissan NV350 (2015-2020),NA,Description Good condition. No repairs needed. Price negotiable. Call now for viewing and test drive!,Category -,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Audi Q2 1.0A TFSI S-tronic,"$107,800","$15,770",30-Apr-2019,2019,"55,000 km (13.9k /yr)",$392 /yr,Auto,"$38,897","$23,667","$33,199","$25,134",999 cc,85.0 kW (113 bhp),"1,315 kg",1,SUV,"Features 1.0L Turbocharged Inline 3 Engine Producing 113bhp 200nm Of Torque, 7 Speed S-tronic Transmission, 6 Airbags, Fuel Consumption 19.2km/l, 50l Fuel Tank View specs of the Audi Q2 (2017)","Accessories Keyless Entry/start, Audi MMI, Audi Drive Select, Cruise Control, Bluetooth, Auto Climate Control, Auto Headlamps, Auto Tailgate, Reverse Camera.","Description 1 Owner! Fully Maintained By Audi With Full Servicing Records, 5 Years Agent Warranty By Premium Automobiles, Excellent Condition, Accident Free! Flexible Loan Package, 100% Loan Available! Trade In Welcome, Call Us Now To View Before It's Gone.",CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Toyota Prius Plus Hybrid 1.8A,N.A,N.A,29-Sep-2020,2020,N.A.,$976 /yr,Auto,N.A.,"$27,507","$41,510","$20,510","1,798 cc",100.0 kW (134 bhp),"1,500 kg",1,MPV,"Features Award winning 1.8L 4 cylinders DOHC 16V Hybrid engine, 7 seater MPV, multi function steering, cruise control, superb fuel efficiency. View specs of the Toyota Prius Alpha Hybrid (2017-2022)","Accessories Toyota original audio system with Bluetooth, Apple CarPlay, etc! Reverse camera/sensors, rear knockdown seats, 3M solar films, 9H ceramic coating!",Description 1 owner only! Borneo Motors unit with 5 years warranty and 10 years Hybrid battery warranty! Full serviced and maintained by Borneo! Original blizzard pearl paintwork cladded on elegance looking black leather upholstery! Whooping huge fuel efficiency! Immediate ownership transfer! Buy with a peace of mind! Trade-in welcome! Flexible loan amount with attractive interest rates! Call us now!,"CategoryPARF Car, Hybrid Cars",SOLD
Mercedes-Benz B-Class B180 Style,"$61,800","$16,490",29-Apr-2016,2015,"96,000 km (13.8k /yr)",$740 /yr,Auto,"$28,957","$26,108","$45,000","$23,552","1,595 cc",90.0 kW (120 bhp),"1,425 kg",2,Hatchback,"Features 1.6L turbocharged inline 4 cylinders engine, 120bhp, 7G-DCT auto with paddle shifters, 7 airbags, ABS, park assist, auto headlights and rain sensors. View specs of the Mercedes-Benz B-Class (2012-2019)","Accessories 12.5"" Android player, multi function steering, retractable mirrors, LED DRL, driver and passenger electrical leather seats, full leather interior, etc",Description Upgraded Android player system! Premium northern light violet paintwork cladded in black leather seats. Good looking B180 you will never get bored for turning back to look at it for a few more time. Immediate ownership transfer! Buy with a peace of mind! Trade-in welcome! Flexible loan amount with attractive interest rate available. Call us now!,CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Porsche Cayenne 3.6A Tip (New 10-yr COE),"$202,800","$20,260",15-Jan-2014,2013,"100,000 km (10.8k /yr)","$3,322 /yr",Auto,N.A.,"$80,956",N.A.,"$117,721","3,598 cc",220.0 kW (295 bhp),"2,105 kg",3,SUV,"Features 3.6L V6 engine producing 295bhp, 400nm torque, 0-100 km/h in 7.8s, 8 speed (a) Tiptronic s transmission, AWD, fuel consumption 10.1 km/l. View specs of the Porsche Cayenne (2010-2015)","Accessories Keyless entry/start/stop, paddle shifters, electric seats, cruise control, electric tailgate, Bluetooth, drop down rear seats, rear aircon. HUD","Description $0 Downpayment, 100% Loan Available. Free Road Tax Till 01/24! Option To Buy W/O COE $99.8K! Genuine Mileage! 100% Accident Free! Mojave Beige Interior Like New! Immaculate Condition! Maintained By Rreputable Workshop With Recent Receipts! Highly Sought After SUV. Luxurious And Comfortable On The Inside. Sporty And Masculine On The Outside. Viewing In Showroom. Call Quick To Avoid Disappointment!","This car comes with 6-mth Sgcarmart Warranty, the best protection for your car.Ask the dealer to activate the warranty to start the coverage.$0 Repair BillsComprehensive Vehicle Inspection","CategoryCOE Car, Premium Ad Car, Sgcarmart Warranty Cars"
Honda Vezel 1.5A X,"$49,800","$14,600",11-May-2016,2016,"108,000 km (15.6k /yr)",$682 /yr,Auto,"$20,655","$20,054","$46,009","$10,076","1,496 cc",96.0 kW (128 bhp),"1,190 kg",3,SUV,"Features Powered By Earth Dreams Direct Injection 1.5L 4 Cylinders DOHC Engine Producing 128bhp 155nm, Paired With Responsive CVT Transmission For Daily Use. View specs of the Honda Vezel 2014 (2014)","Accessories Sports Rims, Reverse Camera/sensor, Bluetooth, Multi Function Steering, Retractable Side Mirrors.",Description Immaculate Condition! Superbly Well Maintained. Pre-Purchase Inspection Or STA Inspection Welcomed. 90% Financing Can Be Arranged! Call Us And View Today!,"CategoryPARF Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Subaru Forester 2.0i-L Sunroof,"$86,800","$14,040",27-Dec-2018,2018,"102,000 km (23.7k /yr)","$1,208 /yr",Auto,"$27,868","$13,602","$31,001","$13,602","1,995 cc",110.0 kW (147 bhp),"1,591 kg",1,SUV,"Features 4-cylinder 16-valve DOHC horizontally opposed producing 148bhp and 198nm of torque, lineartronic CVT (a), all-wheel drive. View specs of the Subaru Forester (2013-2019)","Accessories Sports rims, dual electric leather seats, Sunroof, factory audio with r/cam, multi -function steering, info display, si - drive.","Description 1 owner, well maintained, smooth engine, smooth gearbox, tight undercarriage, 1 of the most popular japan made SUV that gives you ample space, superb stability and handling with the AWD, flexible loan package, immediate transfer of ownership upon collection.",CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Lexus RX300 Luxury Sunroof,"$223,800","$24,040",09-Dec-2020,2019,"69,000 km (29.3k /yr)","$1,210 /yr",Auto,"$90,373","$59,914","$39,889","$79,846","1,998 cc",175.0 kW (234 bhp),"1,965 kg",1,SUV,Features 2.0L turbocharged engine producing 234bhp and 350nm of torque. 6 speed auto. Keyless entry/start. Blind spot monitor. Cruise control. Memory seats.,Accessories 360 camera. Navigation. LED headlamps and DRL. Electric power tailgate. Electric ventilated front seats. BSM. Pre collision system. Wireless charging.,Description Lowest depreciation for Luxury sunroof model in the market! 1 owner. Accident free. Fully service and maintain by Borneo Motors. 5 years warranty and 2 more free servicing by BM. VRN will be retained. Bank and In house loan available. Viewing by appointment basis. Trade in welcome. Freebies included if price is right!,"CategoryPARF Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Toyota Corolla Altis 1.6A Elegance (COE till 03/2025),"$22,800","$11,920",16-Mar-2010,2010,"130,000 km (9.9k /yr)","$1,039 /yr",Auto,"$6,350","$16,716","$16,604","$16,716","1,598 cc",80.0 kW (107 bhp),"1,195 kg",4,Mid-Sized Sedan,"Features 1.6l 4 cylinders 16 valve inline DOHC dual VVT-I engine. ABS/SRS airbags, multi function steering/climate control. View specs of the Toyota Corolla Altis (2008-2013)","Accessories Leather upholstery, sport rims, Pioneer audio system with Bluetooth connectivity, auto retractable folding mirrors and fog lamps.",Description Pristine condition! Low mileage clocked! Full serviced with wear and tear all done up at platinum motoring in house workshop! 100% loan available from 2.28% p.A! 1 to 1 exchange without cash top up! Hurry and call our friendly sales adviser for more information before it's sold! Best price guaranteed!,"This car comes with 6-mth Sgcarmart Warranty, the best protection for your car.Ask the dealer to activate the warranty to start the coverage.$0 Repair BillsComprehensive Vehicle Inspection","CategoryCOE Car, Premium Ad Car, Low Mileage Car, Sgcarmart Warranty Cars"
Mazda 3 1.6A SP (COE till 09/2023),"$4,800",N.A.,24-Sep-2008,2008,N.A.,"$1,113 /yr",Auto,"$1,409","$15,009","$16,170","$15,009","1,598 cc",79.0 kW (105 bhp),"1,235 kg",4,Mid-Sized Sedan,Features View specs of the Mazda 3 Sedan (2004-2009),NA,"Description Ideal short term for festive season, it's more worth than rental, act fast.",CategoryCOE Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Citroen e-Berlingo Electric,"$122,800","$12,920",17-Oct-2022,2022,N.A.,N.A.,Auto,"$56,113","$36,325","$59,024","$1,817",N.A.,1,"1,760 kg",1,Van,Features View specs of the Citroen e-Berlingo Electric (2022),NA,"Description Cheapest and highest rebate of $40000, high loan and best reliable electric van so far, booked by few big corporate companies, Cycle & Carriage warranty and servicings, call now.","CategoryAlmost New Car, Premium Ad Car, Electric Cars",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Toyota Corolla Altis 1.6A Standard,"$92,800","$13,680",21-May-2019,2019,"53,289 km (13.6k /yr)",$742 /yr,Auto,"$29,330","$18,787","$25,000","$18,787","1,598 cc",96.0 kW (128 bhp),"1,230 kg",1,Mid-Sized Sedan,Features View specs of the Toyota Corolla,NA,Description One Owner Toyota Corolla Altis. Newly Listed. Most Reliable Japanese Brand In The Market. Easy To Maintain. Trade In Most Welcome. Flexible Loan Package Can Be Arranged. Call Our Friendly Sales Person For A No Obligation Discussion.,CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
BMW X3 xDrive30i,"$189,998","$26,680",27-Mar-2019,2018,"19,534 km (4.8k /yr)","$1,210 /yr",Auto,"$67,592","$50,433","$35,310","$62,780","1,998 cc",185.0 kW (248 bhp),"1,715 kg",1,SUV,Features 2.0L twin turbo engine. 248 Bhp. 290nm. 0 to 100km/h in 6.3 seconds. Auto start/stop function. Keyless comfort access. 8 speeds transmission. View specs of the BMW X3,Accessories Touch screen iDrive. GPS and Bluetooth. Auto tailgate. Front and rear park assist. 360 all round cameras. Front and rear original BMW recording camera,"Description Drive with assurance with 5 star reviews! Genuine and transparent! Full serviced by PML, under warranty till 04/2024. Interest rate from 2.78% bank/in house loan approval available, highest trade in assured! ""deal with us for a peace of mind"" well taken care by 1 lady pre-owner. Under shelter parked! Zero mishap! STA evaluation welcome! Best deal assured! WhatsApp us for an appointment today!","CategoryPARF Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Audi A4 1.8A TFSI MU (COE till 10/2031),"$108,800","$12,780",20-Oct-2011,2011,N.A.,"$1,171 /yr",Auto,"$51,573","$31,666","$60,586","$31,666","1,798 cc",118.0 kW (158 bhp),"1,450 kg",More than 6,Luxury Sedan,"Features Powerful 1.8l, turbocharged engine, 8 speed transmission, multi function steering, cruise control, sports mode, electronic parking brakes. View specs of the Audi A4 (2005-2007)","Accessories Aftermarket exhaust, throttle controller, dynamic tuning.",Description Beautifully done up Audi A4 1.8 turbo charge with most wear and tear repaired. A car that has been mod and well-maintained by previous owner. Service every 5000km. Comes with aftermarket exhaust with cert and throttle controller! Enquire today! Strictly appointment basis!,"CategoryCOE Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Toyota Wish 2.0A (COE till 03/2025),"$28,800","$15,080",15-Mar-2010,2010,"148,000 km (11.3k /yr)","$1,677 /yr",Auto,"$6,763","$22,003","$17,708","$22,003","1,987 cc",106.0 kW (142 bhp),"1,380 kg",3,MPV,"Features 2.0L powerful and reliable DOHC VVT-I engine, 7 speed (A) CVT, SRS airbags, traction control, ABS, auto climatic aircon control, 7 seaters MPV. View specs of the Toyota Wish","Accessories Sport rims, leather seat, soft touch screen audio, reverse camera/sensors, auto retractable side mirrors, solar films.","Description Lady owner! Well maintained! Pristine and showroom condition! Loan available to suits your needs, high trade in available! Hurry and call our friendly sales adviser for more information before it's sold! Best price guaranteed! What are you waiting for? Call us to arrange for viewing now! Fantastic fuel efficiency and high performance engine!",CategoryCOE Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Lexus IS Turbo IS300 Executive,"$124,366","$19,950",17-May-2018,2018,"89,000 km (18.1k /yr)","$1,210 /yr",Auto,"$53,301","$38,430","$38,389","$45,802","1,998 cc",180.0 kW (241 bhp),"1,620 kg",1,Luxury Sedan,Features 2.0L Four Cylinder Inline 16 Valve DOHC Twin-scroll Turbo Charged Dual VVT-IW Engine. Rear Wheel Drive. 8 Speed Auto Transmission. 241bhp. View specs of the Lexus IS 300 (2016-2020),Accessories Navigation. Sports Rims. Leather Seats. Keyless Entry. Push Start/stop. Factory Fitted 10.3 Inch Audio Player. Reverse Sensors With Camera.,"Description Lexus Iconic Pearl White Unit! Full Borneo Serviced. 18"" Rays Homura Hyuga Hp10 Sport Rims Just Changed. New Sets Of Tyres Changed As Well. Highlighted By Lexus Top-notch Lexus 2-tone Interior Leather Seats! High Quality Padding. Heated And Ventilated Seats. Ample Legroom At The Rear. A LFA-inspired, Driver Focused Cockpit Gets You In The Room To Blast Off! Super Well Maintained With Coating On!",CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
